"","prob.meio","prob.mito","Euploid","Mosaic Aneuploid","Fully Aneuploid","misclassification"
"420",0.44065633789534,0.0138346572718541,0,530,470,0
"125",0.428673775350107,0.0140216194147904,2,593,405,0
"142",0.430112308358465,0.0146204620851406,1,568,431,0
"131",0.450080370354275,0.0131548299892231,0,540,460,0
"118",0.434803690623219,0.013162747371787,1,555,444,0
"99",0.449180720188112,0.0135698140125544,0,558,442,0
"270",0.412810666704802,0.0143174783272612,0,611,389,0
"174",0.436269901115814,0.0140984382820003,0,579,421,0
"131.1",0.450080370354275,0.0131548299892231,0,543,457,0
"210",0.422723505691523,0.0147654274132598,0,592,408,0
"420.1",0.44065633789534,0.0138346572718541,0,543,457,0
"453",0.414113452089504,0.0139997718744102,2,583,415,0
"36",0.432846146147126,0.0132571029984177,1,578,421,0
"107",0.43452268559307,0.0138813817913605,0,575,425,0
"295",0.435367800817352,0.0127572737962755,0,544,456,0
"371",0.428439668288825,0.0132212624141527,2,565,433,0
"227",0.428538105053922,0.0137631149193042,0,539,461,0
"207",0.416740578765829,0.0132851474323256,2,560,438,0
"196",0.444038415024996,0.0144395309449999,0,577,423,0
"206",0.429773688200788,0.014006784899796,1,578,421,0
"125.1",0.428673775350107,0.0140216194147904,0,595,405,0
"224",0.441310680524786,0.0142109995586272,0,559,441,0
"91",0.424515779071176,0.0137339054557641,1,582,417,0
"372",0.424748967064303,0.0129331107595007,1,554,445,0
"28",0.415986815556195,0.0136375281665715,0,582,418,0
"369",0.413775732820191,0.0137731347412135,1,588,411,0
"395",0.427413831564177,0.0126033646065459,4,578,418,0
"86",0.413082084715878,0.013763327030828,1,622,377,0
"209",0.408736504078084,0.0142367790760262,0,582,418,0
"166",0.42137454320222,0.0129901710439578,1,567,432,0
"191",0.428640360809596,0.0127521595150903,1,563,436,0
"419",0.440875713002037,0.0133830365855755,2,553,445,0
"135",0.432030036391257,0.0145795017642831,0,560,440,0
"199",0.428074496204737,0.0153242466662157,0,569,431,0
"235",0.443852829482557,0.014095873578444,0,559,441,0
"129",0.407072154652675,0.0137391406130858,1,589,410,0
"461",0.43001448700953,0.0122923550648357,1,562,437,0
"37",0.421736498097328,0.0136427222054677,0,590,410,0
"106",0.439991630733282,0.0149182173256546,0,566,434,0
"81",0.435106127874485,0.0131244446303312,1,556,443,0
"221",0.427902913245646,0.0139112291269396,1,573,426,0
"221.1",0.427902913245646,0.0139112291269396,0,576,424,0
"293",0.424025547879902,0.0136219000359638,0,587,413,0
"400",0.428861915582513,0.0127596992099272,2,611,387,0
"166.1",0.42137454320222,0.0129901710439578,1,582,417,0
"314",0.421398063669306,0.0127238411535628,1,580,419,0
"343",0.451957929379307,0.0145775437302466,0,546,454,0
"376",0.428021753553452,0.0135702213349734,0,558,442,0
"396",0.410784595638715,0.0142506654000816,1,600,399,0
"120",0.402937047128255,0.0139628439609053,1,607,392,0
"200",0.446320425211718,0.0144719592710224,1,591,408,0
"67",0.407509673804065,0.0127332732537598,1,583,416,0
"342",0.398614369044632,0.0141611146036372,0,599,401,0
"54",0.406746524117471,0.0129757611202335,2,579,419,0
"15",0.396395719195983,0.0111208542114275,2,610,388,0
"86.1",0.413082084715878,0.013763327030828,0,589,411,0
"105",0.404627583648564,0.0146052684067112,0,581,419,0
"395.1",0.427413831564177,0.0126033646065459,0,564,436,0
"246",0.420505367150361,0.0138180039650628,1,567,432,0
"316",0.442898651332913,0.0138326533008276,0,556,444,0
"241",0.447041973780333,0.0137602188476515,0,556,444,0
"303",0.394943450164514,0.0124722511198965,1,612,387,0
"365",0.412655460111039,0.0124172489793271,2,559,439,0
"425",0.426609650173594,0.0124083287378652,3,564,433,0
"62",0.420848804349393,0.0124495428645291,2,576,422,0
"234",0.435458697422156,0.0136755026513346,1,595,404,0
"307",0.4102720307833,0.0141279375742234,0,598,402,0
"398",0.426304909573242,0.0140664214816971,1,548,451,0
"195",0.410779817776596,0.0146387236183441,2,603,395,0
"149",0.428184615673506,0.014014644583825,0,570,430,0
"231",0.423032435501834,0.012525155658045,0,576,424,0
"314.1",0.421398063669306,0.0127238411535628,0,587,413,0
"57",0.40818394412723,0.0139718698310853,0,556,444,0
"339",0.434931972254318,0.0129357368683109,0,547,453,0
"284",0.426295805806116,0.0136618596031872,0,577,423,0
"389",0.406104229709437,0.0148307126708651,0,588,412,0
"301",0.422285126950352,0.013518319864996,2,570,428,0
