"","prob.meio","prob.mito","Euploid","Mosaic Aneuploid","Fully Aneuploid","misclassification"
"79",0.488572426814785,0.00306316127747134,94,404,502,0.7
"327",0.483293924621864,0.00370606460709791,65,431,504,0.7
"117",0.499397871826817,0.00345150575279116,107,399,494,0.7
"309",0.508083181889041,0.00336877379921098,81,403,516,0.7
"420",0.492793825504398,0.00298075325767754,118,389,493,0.7
"212",0.504407246311552,0.00336556850632286,81,419,500,0.7
"399",0.474342567617988,0.00263041900906462,127,387,486,0.7
"40",0.50254341044524,0.00257828003660959,127,373,500,0.7
"224",0.482384422754186,0.00302998837453434,115,375,510,0.7
"143",0.479513877965744,0.0035314679474181,90,433,477,0.7
"279",0.517414426323556,0.00308310733459737,106,378,516,0.7
"64",0.473127735130419,0.00334076166010791,94,443,463,0.7
"181",0.474770357384554,0.00296312803281038,128,404,468,0.7
"308",0.462225428085725,0.00356399465309666,73,443,484,0.7
"281",0.488478409044478,0.0030605417360974,95,421,484,0.7
"395",0.521381582166264,0.00285662513081,127,361,512,0.7
"429",0.470385722936977,0.00318154093181725,110,421,469,0.7
"6",0.500624652892816,0.00300044672151088,99,402,499,0.7
"252",0.492114080565718,0.00347678986586926,86,404,510,0.7
"432",0.490764079323029,0.00414069971547031,74,417,509,0.7
"439",0.49294335137502,0.00338672168062152,93,405,502,0.7
"341",0.47453170444512,0.00258438368185572,147,378,475,0.7
"199",0.505481528164265,0.00394615236129181,69,427,504,0.7
"364",0.493215965703658,0.00387038560941923,62,445,493,0.7
"124",0.503222342808036,0.00289587373777393,104,395,501,0.7
"428",0.489900364737854,0.0030250930401524,103,404,493,0.7
"349",0.499111506105921,0.00348409964553857,72,415,513,0.7
"246",0.486782136708414,0.00238760470186155,163,349,488,0.7
"28",0.49468760438646,0.00291367263511831,116,378,506,0.7
"145",0.499411342279424,0.00334359324194342,90,424,486,0.7
"73",0.50044664991173,0.00352686049794713,76,423,501,0.7
"293",0.497161908827444,0.0032146586257695,86,440,474,0.7
"313",0.508808052161128,0.0030385687370736,97,400,503,0.7
"2",0.489298428568738,0.00340724081530091,86,447,467,0.7
"359",0.482060669812386,0.00453311391987704,57,465,478,0.7
"429.1",0.470385722936977,0.00318154093181725,98,415,487,0.7
"87",0.486472990678777,0.00331953185016225,85,433,482,0.7
"340",0.481636219795749,0.00350323336920115,110,429,461,0.7
"184",0.481018020307591,0.00283156750407231,112,422,466,0.7
"221",0.47215158322755,0.0027420618410164,120,399,481,0.7
"319",0.492565444053646,0.00313846785417103,111,398,491,0.7
"38",0.492558087863664,0.00297793657223936,127,374,499,0.7
"411",0.505814322215988,0.00287285614314198,116,372,512,0.7
"338",0.482524665635326,0.00406402789268218,43,473,484,0.7
