dispersal,first_biopsy_type,second_biopsy_type,embryo_type,first_biopsy_cell,second_biopsy_cell,count
1,Aneuploid,Aneuploid,Fully Aneuploid,5,5,29211
1,Aneuploid,Aneuploid,Mosaic Aneuploid,4,4,25
1,Aneuploid,Aneuploid,Mosaic Aneuploid,4,5,8
1,Aneuploid,Aneuploid,Mosaic Aneuploid,5,4,9
1,Aneuploid,Aneuploid,Mosaic Aneuploid,5,5,4
1,Aneuploid,Euploid,Mosaic Aneuploid,4,0,1
1,Aneuploid,Euploid,Mosaic Aneuploid,4,1,22
1,Aneuploid,Euploid,Mosaic Aneuploid,5,1,3
1,Aneuploid,Mosaic,Mosaic Aneuploid,4,2,50
1,Aneuploid,Mosaic,Mosaic Aneuploid,4,3,51
1,Aneuploid,Mosaic,Mosaic Aneuploid,5,2,11
1,Aneuploid,Mosaic,Mosaic Aneuploid,5,3,8
1,Euploid,Aneuploid,Mosaic Aneuploid,0,4,2
1,Euploid,Aneuploid,Mosaic Aneuploid,0,5,1
1,Euploid,Aneuploid,Mosaic Aneuploid,1,4,25
1,Euploid,Aneuploid,Mosaic Aneuploid,1,5,2
1,Euploid,Euploid,Euploid,0,0,12
1,Euploid,Euploid,Mosaic Aneuploid,0,0,7857
1,Euploid,Euploid,Mosaic Aneuploid,0,1,3378
1,Euploid,Euploid,Mosaic Aneuploid,1,0,3364
1,Euploid,Euploid,Mosaic Aneuploid,1,1,2876
1,Euploid,Mosaic,Mosaic Aneuploid,0,2,337
1,Euploid,Mosaic,Mosaic Aneuploid,0,3,8
1,Euploid,Mosaic,Mosaic Aneuploid,1,2,653
1,Euploid,Mosaic,Mosaic Aneuploid,1,3,98
1,Mosaic,Aneuploid,Mosaic Aneuploid,2,4,51
1,Mosaic,Aneuploid,Mosaic Aneuploid,2,5,7
1,Mosaic,Aneuploid,Mosaic Aneuploid,3,4,49
1,Mosaic,Aneuploid,Mosaic Aneuploid,3,5,10
1,Mosaic,Euploid,Mosaic Aneuploid,2,0,375
1,Mosaic,Euploid,Mosaic Aneuploid,2,1,640
1,Mosaic,Euploid,Mosaic Aneuploid,3,0,21
1,Mosaic,Euploid,Mosaic Aneuploid,3,1,85
1,Mosaic,Mosaic,Mosaic Aneuploid,2,2,375
1,Mosaic,Mosaic,Mosaic Aneuploid,2,3,123
1,Mosaic,Mosaic,Mosaic Aneuploid,3,2,140
1,Mosaic,Mosaic,Mosaic Aneuploid,3,3,108
