     prob.meio  prob.mito euploid mosaic aneuploid
1  0.260783373 0.10554180    0.18   0.31      0.51
2  0.353700302 0.08041121    0.23   0.30      0.47
3  0.004286396 0.14658642    0.11   0.43      0.46
4  0.017838500 0.22955125    0.03   0.33      0.64
5  0.536883898 0.01114900    0.46   0.05      0.49
6  0.406829979 0.14743688    0.06   0.27      0.67
7  0.223594233 0.18955536    0.01   0.35      0.64
8  0.005571092 0.20580918    0.02   0.42      0.56
9  0.326969312 0.11760490    0.10   0.37      0.53
10 0.283255513 0.13146424    0.10   0.44      0.46
