     prob.meio   prob.mito euploid mosaic aneuploid
1  0.533754585 0.043401944    0.21   0.20      0.59
2  0.198267712 0.008893999    0.61   0.17      0.22
3  0.352403949 0.107763417    0.14   0.37      0.49
4  0.003385013 0.189693244    0.07   0.36      0.57
5  0.455177773 0.069017574    0.17   0.26      0.57
6  0.454103863 0.042955667    0.26   0.20      0.54
7  0.430155106 0.096996897    0.12   0.23      0.65
8  0.620332530 0.086431667    0.17   0.24      0.59
9  0.368025428 0.032028196    0.46   0.16      0.38
10 0.565715327 0.094439201    0.12   0.23      0.65
11 0.403337023 0.098127752    0.18   0.29      0.53
12 0.296748497 0.035177643    0.39   0.24      0.37
13 0.383159918 0.107268200    0.14   0.36      0.50
14 0.308697821 0.065810986    0.25   0.26      0.49
15 0.306249308 0.008001730    0.59   0.05      0.36
16 0.477744053 0.003397454    0.36   0.05      0.59
17 0.380963595 0.109605068    0.11   0.33      0.56
18 0.299655524 0.046318636    0.45   0.28      0.27
19 0.350388571 0.158194637    0.06   0.38      0.56
20 0.438100990 0.101247334    0.09   0.31      0.60
21 0.599644074 0.031949986    0.29   0.11      0.60
22 0.252855110 0.034906719    0.42   0.30      0.28
23 0.206381632 0.170162886    0.07   0.39      0.54
24 0.427938715 0.067448819    0.17   0.26      0.57
25 0.407125820 0.078083791    0.16   0.29      0.55
26 0.267853301 0.012863391    0.55   0.15      0.30
27 0.090880650 0.111502213    0.16   0.38      0.46
28 0.242937045 0.039521061    0.43   0.24      0.33
29 0.418305213 0.095738356    0.13   0.32      0.55
30 0.220694671 0.138192577    0.08   0.37      0.55
31 0.226474513 0.132733495    0.12   0.36      0.52
32 0.327106468 0.058286993    0.37   0.27      0.36
33 0.336029785 0.081971353    0.22   0.33      0.45
34 0.422013626 0.105575765    0.17   0.30      0.53
35 0.565561045 0.056018893    0.25   0.15      0.60
36 0.291009409 0.106642555    0.16   0.40      0.44
37 0.210034863 0.062485895    0.29   0.37      0.34
38 0.378569014 0.100350484    0.13   0.34      0.53
39 0.436077877 0.113791484    0.09   0.30      0.61
40 0.533517769 0.070653249    0.17   0.21      0.62
41 0.422636900 0.057071271    0.23   0.28      0.49
42 0.443635593 0.003743066    0.62   0.02      0.36
43 0.398844757 0.067318477    0.22   0.34      0.44
44 0.233465570 0.092432541    0.22   0.37      0.41
45 0.225526893 0.026715319    0.60   0.17      0.23
46 0.123374011 0.177472809    0.08   0.37      0.55
47 0.348922696 0.071101403    0.22   0.31      0.47
48 0.411087797 0.014431778    0.46   0.13      0.41
49 0.326899310 0.155290586    0.06   0.34      0.60
50 0.335278215 0.151202696    0.06   0.33      0.61
