   prob.meio    prob.mito euploid mosaic aneuploid
1  0.1328392 0.0708190880    0.25   0.40      0.35
2  0.4215987 0.0014807545    0.61   0.00      0.39
3  0.3669210 0.0327775418    0.31   0.26      0.43
4  0.3864100 0.1314786703    0.09   0.30      0.61
5  0.4227729 0.0946844772    0.17   0.29      0.54
6  0.4368010 0.1530576099    0.07   0.31      0.62
7  0.5387846 0.0812631203    0.15   0.28      0.57
8  0.3176295 0.0261378398    0.43   0.26      0.31
9  0.2272147 0.0609293994    0.32   0.32      0.36
10 0.4328430 0.0787628340    0.18   0.32      0.50
11 0.4955020 0.0457817675    0.26   0.26      0.48
12 0.5353166 0.0517844518    0.25   0.16      0.59
13 0.1943068 0.0298067373    0.52   0.25      0.23
14 0.2780926 0.0428863184    0.35   0.29      0.36
15 0.3869395 0.0123971929    0.52   0.14      0.34
16 0.3416033 0.0788895981    0.17   0.33      0.50
17 0.4220267 0.0199137428    0.37   0.12      0.51
18 0.3775748 0.0862095803    0.11   0.35      0.54
19 0.2065740 0.1807589165    0.09   0.39      0.52
20 0.5205472 0.0474550338    0.27   0.23      0.50
21 0.5304796 0.0125268477    0.34   0.12      0.54
22 0.5741147 0.0502932293    0.19   0.23      0.58
23 0.5382862 0.0648913402    0.16   0.22      0.62
24 0.5138612 0.0823805598    0.14   0.31      0.55
25 0.2143049 0.0965810120    0.26   0.38      0.36
26 0.3352347 0.0956678777    0.13   0.35      0.52
27 0.5302109 0.0497350497    0.26   0.23      0.51
28 0.4626872 0.0168134968    0.32   0.10      0.58
29 0.5066761 0.0549336376    0.23   0.19      0.58
30 0.4534901 0.1060831749    0.19   0.30      0.51
31 0.2257023 0.0649807793    0.35   0.29      0.36
32 0.4013552 0.0572944407    0.31   0.20      0.49
33 0.1681084 0.1902883460    0.08   0.36      0.56
34 0.0523159 0.1491218014    0.20   0.37      0.43
35 0.4938863 0.0413445858    0.30   0.12      0.58
36 0.4489999 0.0261094572    0.38   0.17      0.45
37 0.5245943 0.0732174446    0.20   0.17      0.63
38 0.4537196 0.0724747202    0.12   0.28      0.60
39 0.3539754 0.0576266521    0.27   0.26      0.47
40 0.2689020 0.0237257655    0.42   0.24      0.34
41 0.4428322 0.0720107744    0.15   0.25      0.60
42 0.2708965 0.0069527561    0.60   0.11      0.29
43 0.5771329 0.1245050784    0.10   0.27      0.63
44 0.2152198 0.0215708918    0.63   0.16      0.21
45 0.3019201 0.0722612704    0.18   0.36      0.46
46 0.4477679 0.0059761635    0.49   0.03      0.48
47 0.2683215 0.0003019827    0.70   0.01      0.29
48 0.3363868 0.0368175923    0.43   0.24      0.33
49 0.3515551 0.0513668794    0.40   0.23      0.37
50 0.4993875 0.0725325570    0.20   0.24      0.56
