   prob.meio   prob.mito euploid mosaic aneuploid
1  0.4055988 0.034512948    0.32   0.21      0.47
2  0.5784666 0.030512473    0.22   0.16      0.62
3  0.5417285 0.038660669    0.25   0.17      0.58
4  0.3556878 0.025997942    0.32   0.22      0.46
5  0.2411742 0.141212641    0.14   0.32      0.54
6  0.2403361 0.069147894    0.25   0.31      0.44
7  0.3161475 0.014111295    0.54   0.19      0.27
8  0.4813098 0.127926709    0.08   0.29      0.63
9  0.3291331 0.128519714    0.08   0.34      0.58
10 0.3145487 0.035978795    0.44   0.20      0.36
11 0.3441015 0.065971162    0.24   0.31      0.45
12 0.5172460 0.098046769    0.12   0.25      0.63
13 0.2708055 0.053711770    0.37   0.28      0.35
14 0.3617967 0.046042143    0.32   0.32      0.36
15 0.3398635 0.112535631    0.11   0.29      0.60
16 0.2461197 0.039197102    0.47   0.20      0.33
17 0.1873262 0.122581886    0.10   0.40      0.50
18 0.3412767 0.061515115    0.23   0.32      0.45
19 0.5536522 0.073844057    0.17   0.25      0.58
20 0.2791852 0.032306504    0.40   0.21      0.39
21 0.3079843 0.028431556    0.37   0.17      0.46
22 0.2712043 0.108264258    0.12   0.32      0.56
23 0.3654630 0.082866361    0.20   0.34      0.46
24 0.1693386 0.025698841    0.59   0.19      0.22
25 0.4604852 0.017162831    0.48   0.11      0.41
26 0.1908152 0.028865429    0.52   0.17      0.31
27 0.1915875 0.010828173    0.62   0.16      0.22
28 0.4439348 0.045278945    0.27   0.22      0.51
29 0.2406290 0.013586994    0.59   0.17      0.24
30 0.4300689 0.020158329    0.42   0.15      0.43
31 0.3097274 0.070495667    0.19   0.32      0.49
32 0.3033207 0.023138150    0.53   0.18      0.29
33 0.4011687 0.034031219    0.42   0.26      0.32
34 0.3952529 0.132022045    0.07   0.34      0.59
35 0.3177932 0.043304927    0.31   0.33      0.36
36 0.5978438 0.031400668    0.28   0.12      0.60
37 0.4992378 0.105412873    0.11   0.31      0.58
38 0.3179461 0.099613190    0.15   0.39      0.46
39 0.2929381 0.115053346    0.13   0.34      0.53
40 0.4690236 0.067414297    0.21   0.25      0.54
41 0.2865253 0.040230105    0.42   0.22      0.36
42 0.5054233 0.003517510    0.43   0.02      0.55
43 0.2842184 0.125353673    0.12   0.36      0.52
44 0.5393728 0.002440729    0.38   0.05      0.57
45 0.2081735 0.005179508    0.70   0.07      0.23
46 0.3426852 0.013842284    0.52   0.07      0.41
47 0.3984473 0.088225624    0.16   0.22      0.62
48 0.6316936 0.015012063    0.34   0.06      0.60
49 0.4215455 0.037982958    0.34   0.17      0.49
50 0.4255322 0.062806965    0.16   0.26      0.58
