   prop.aneu prob.meio  prob.mito euploid mosaic aneuploid
1  0.5797266 0.4193680 0.04539058    0.31   0.25      0.44
2  0.5458594 0.4707796 0.02047348    0.37   0.17      0.46
3  0.5798047 0.3993384 0.05004553    0.31   0.24      0.45
4  0.4957813 0.3333572 0.04312054    0.34   0.30      0.36
5  0.5898828 0.4375249 0.03345240    0.32   0.20      0.48
6  0.5737891 0.4903716 0.01932075    0.34   0.14      0.52
7  0.5634766 0.4196779 0.03729514    0.38   0.16      0.46
8  0.6005078 0.4668723 0.03463027    0.34   0.16      0.50
9  0.5773438 0.3986917 0.04105213    0.31   0.24      0.45
10 0.5469922 0.2790609 0.04463676    0.34   0.24      0.42
