   prop.aneu prob.meio    prob.mito euploid mosaic aneuploid
1  0.7453516 0.1414000 0.1373726157    0.14   0.42      0.44
2  0.7402344 0.0167508 0.1563456501    0.09   0.49      0.42
3  0.7801172 0.1356832 0.1485527111    0.05   0.51      0.44
4  0.6652344 0.2732714 0.1073703598    0.12   0.47      0.41
5  0.6316797 0.3820154 0.0762823392    0.23   0.31      0.46
6  0.6560938 0.2741876 0.0869095002    0.17   0.37      0.46
7  0.6531250 0.1583597 0.1060536096    0.15   0.42      0.43
8  0.6340234 0.3070334 0.0760605510    0.20   0.39      0.41
9  0.4105469 0.3902751 0.0001232086    0.59   0.00      0.41
10 0.5142187 0.4455825 0.0180150352    0.43   0.11      0.46
