   prop.aneu  prob.meio  prob.mito euploid mosaic aneuploid
1  0.6460938 0.41280899 0.07812713    0.26   0.30      0.44
2  0.6328125 0.30954894 0.07408396    0.18   0.38      0.44
3  0.4972656 0.47997028 0.01676775    0.43   0.14      0.43
4  0.7737109 0.11016358 0.16151372    0.04   0.53      0.43
5  0.7059375 0.13905311 0.12710524    0.11   0.46      0.43
6  0.5975781 0.20966469 0.07816956    0.29   0.29      0.42
7  0.6813672 0.16866769 0.10688603    0.14   0.44      0.42
8  0.7376563 0.07527467 0.15589025    0.10   0.49      0.41
9  0.6998437 0.08401625 0.12365078    0.16   0.40      0.44
10 0.5904297 0.24076418 0.07352827    0.24   0.35      0.41
