   prop.aneu prob.meio   prob.mito euploid mosaic aneuploid
1  0.4269922 0.3616499 0.012883517    0.47   0.16      0.37
2  0.6314062 0.5438298 0.032494722    0.28   0.21      0.51
3  0.5896875 0.5289925 0.042321928    0.30   0.24      0.46
4  0.5538281 0.3373693 0.031286873    0.36   0.18      0.46
5  0.4854297 0.4390182 0.010253807    0.42   0.13      0.45
6  0.5020313 0.3222552 0.040142184    0.33   0.29      0.38
7  0.4984766 0.4222062 0.009901765    0.46   0.07      0.47
8  0.5367188 0.4172927 0.038580976    0.36   0.23      0.41
9  0.6440234 0.3150844 0.077860772    0.27   0.24      0.49
10 0.5651172 0.4217780 0.037354175    0.37   0.16      0.47
