   prop.aneu  prob.meio   prob.mito euploid mosaic aneuploid
1  0.7417969 0.16611694 0.140756971    0.09   0.47      0.44
2  0.4500781 0.42579458 0.005815027    0.51   0.06      0.43
3  0.5277734 0.34894546 0.031283677    0.45   0.14      0.41
4  0.6015625 0.24403257 0.055188919    0.31   0.25      0.44
5  0.7925781 0.26648808 0.162729116    0.06   0.50      0.44
6  0.6999219 0.04946425 0.136076672    0.15   0.44      0.41
7  0.6872266 0.10761226 0.126550470    0.14   0.42      0.44
8  0.5802734 0.21347131 0.076842109    0.21   0.37      0.42
9  0.4415625 0.47536440 0.005553572    0.51   0.07      0.42
10 0.5431641 0.51869337 0.045825427    0.38   0.18      0.44
