   prop.aneu prob.meio    prob.mito  dispersal euploid mosaic aneuploid
1  0.5678516 0.4051197 0.0176295950 0.13129347    0.38   0.12      0.50
2  0.5385547 0.4709541 0.0213126619 0.09299711    0.35   0.19      0.46
3  0.6028906 0.5323765 0.0086871614 0.84253476    0.34   0.08      0.58
4  0.4769141 0.3807273 0.0059820376 0.47475776    0.47   0.08      0.45
5  0.5803906 0.4571268 0.0451931094 0.08464995    0.26   0.32      0.42
6  0.4840625 0.4580829 0.0028645473 0.92900376    0.45   0.08      0.47
7  0.4771875 0.4479331 0.0067414173 0.40703492    0.49   0.06      0.45
8  0.3942188 0.3998124 0.0147571818 0.34782852    0.47   0.20      0.33
9  0.5316406 0.4822635 0.0006487495 0.71459732    0.46   0.01      0.53
10 0.5675000 0.4817524 0.0315008743 0.31152750    0.24   0.30      0.46
