   prop.aneu prob.meio   prob.mito   dispersal euploid mosaic aneuploid
1  0.5042188 0.4063715 0.034858361 0.065589392    0.39   0.25      0.36
2  0.5809375 0.5098700 0.026316033 0.202064334    0.30   0.20      0.50
3  0.5764063 0.5031012 0.019163171 0.882204575    0.24   0.25      0.51
4  0.5048438 0.3843613 0.013020941 0.280723366    0.35   0.22      0.43
5  0.4330469 0.3022404 0.008028354 0.736809507    0.38   0.23      0.39
6  0.5520703 0.5153074 0.010697759 0.566210971    0.36   0.13      0.51
7  0.6589063 0.5335022 0.035250031 0.285639272    0.19   0.25      0.56
8  0.5597266 0.3667574 0.030055656 0.009188841    0.36   0.19      0.45
9  0.5130859 0.5896865 0.004509632 0.119717083    0.45   0.05      0.50
10 0.4440625 0.3192997 0.026276221 0.189658204    0.42   0.25      0.33
