   prop.aneu prob.meio  prob.mito  dispersal euploid mosaic aneuploid
1  0.6592187 0.5869594 0.02381674 0.10238817    0.26   0.16      0.58
2  0.4392969 0.3809065 0.01609475 0.30364595    0.44   0.20      0.36
3  0.6326563 0.5942335 0.01624308 0.58504739    0.26   0.16      0.58
4  0.4816016 0.3572027 0.03404846 0.02246863    0.40   0.24      0.36
5  0.4889453 0.3754872 0.01433628 0.88253181    0.37   0.21      0.42
6  0.5130859 0.4074079 0.02455244 0.72454152    0.29   0.29      0.42
7  0.6639063 0.5097047 0.04539288 0.02873371    0.21   0.22      0.57
8  0.5589453 0.2931837 0.03143560 0.12134928    0.31   0.26      0.43
9  0.5042969 0.3558522 0.02800132 0.18930888    0.30   0.30      0.40
10 0.5775391 0.5074519 0.02273618 0.15478321    0.31   0.19      0.50
