   prop.aneu prob.meio   prob.mito  dispersal euploid mosaic aneuploid
1  0.3312891 0.1669541 0.019408461 0.06997608    0.54   0.21      0.25
2  0.5664453 0.4947124 0.012424635 0.02082007    0.38   0.09      0.53
3  0.6207422 0.4421786 0.030209885 0.98687897    0.14   0.33      0.53
4  0.3404687 0.2664604 0.018017680 0.16514308    0.57   0.19      0.24
5  0.3538281 0.3093844 0.001271399 0.28924217    0.64   0.01      0.35
6  0.4278516 0.2940045 0.017653610 0.47690545    0.38   0.29      0.33
7  0.4181250 0.4000555 0.011480698 0.50099059    0.42   0.21      0.37
8  0.6900781 0.5898552 0.043007032 0.45879413    0.13   0.30      0.57
9  0.6125781 0.5546602 0.023543891 0.35888220    0.27   0.21      0.52
10 0.5668750 0.3972117 0.036481706 0.09332415    0.29   0.27      0.44
