   prop.aneu prob.meio  prob.mito    dispersal euploid mosaic aneuploid
1  0.4335938 0.3835023 0.01507300 0.5035684027    0.40   0.23      0.37
2  0.5489453 0.2240643 0.05775427 0.0079579386    0.31   0.30      0.39
3  0.5055859 0.3357682 0.03947900 0.1210122060    0.32   0.31      0.37
4  0.4187500 0.3570931 0.01361344 0.9371307718    0.37   0.29      0.34
5  0.5925000 0.5848120 0.01196465 0.3981142207    0.30   0.16      0.54
6  0.5436328 0.3853401 0.03371182 0.0006501686    0.42   0.15      0.43
7  0.5027344 0.3608092 0.01448514 0.1524967707    0.40   0.16      0.44
8  0.4355859 0.3434377 0.01743436 0.0690233477    0.47   0.18      0.35
9  0.3828516 0.3474991 0.01660015 0.7656057093    0.45   0.25      0.30
10 0.6050391 0.5396743 0.02683506 0.2327065619    0.28   0.21      0.51
