   prop.aneu prob.meio  prob.mito dispersal euploid mosaic aneuploid
1  0.6454688 0.5701692 0.01894653 0.5448713    0.20   0.22      0.58
2  0.4808594 0.3316490 0.01328752 0.6857051    0.33   0.26      0.41
3  0.4144141 0.2641643 0.02103718 0.3624784    0.39   0.31      0.30
4  0.5103906 0.3789590 0.01738981 0.6262016    0.29   0.27      0.44
5  0.3603125 0.2980423 0.01055950 0.4725511    0.50   0.19      0.31
6  0.3915234 0.2849606 0.01403635 0.9170640    0.42   0.26      0.32
7  0.6770312 0.5534383 0.03569508 0.3246633    0.17   0.26      0.57
8  0.3787891 0.3599632 0.01701437 0.2102216    0.50   0.22      0.28
9  0.6179687 0.5056413 0.02439083 0.5200661    0.22   0.23      0.55
10 0.6762891 0.5164210 0.05324600 0.1892491    0.18   0.29      0.53
