   prop.aneu prob.meio   prob.mito dispersal euploid mosaic aneuploid
1  0.4666406 0.3632784 0.020846908 0.1966718    0.42   0.20      0.38
2  0.5307812 0.3423450 0.018526668 0.9333613    0.24   0.31      0.45
3  0.4829688 0.3059657 0.015154818 0.3815598    0.36   0.22      0.42
4  0.3696484 0.3094732 0.011000325 0.6188065    0.44   0.24      0.32
5  0.4577734 0.3195608 0.040394174 0.1189551    0.38   0.33      0.29
6  0.6067187 0.4641569 0.022563447 0.2303721    0.29   0.16      0.55
7  0.5084375 0.4546386 0.012813287 0.1429167    0.44   0.10      0.46
8  0.4740625 0.5236636 0.005577941 0.7057867    0.47   0.08      0.45
9  0.5371094 0.4280545 0.006993311 0.6046459    0.38   0.11      0.51
10 0.4367578 0.4670799 0.008170621 0.8054373    0.44   0.15      0.41
