   prop.aneu  prob.meio   prob.mito  dispersal euploid mosaic aneuploid
1  0.4868750 0.40998586 0.010335880 0.97592814    0.35   0.22      0.43
2  0.6417578 0.26783450 0.076540367 0.05158471    0.15   0.42      0.43
3  0.6948047 0.47634908 0.062165218 0.21921664    0.11   0.44      0.45
4  0.6342578 0.35653786 0.057291706 0.91893269    0.03   0.55      0.42
5  0.7790625 0.12142504 0.153339612 0.81509413    0.00   0.59      0.41
6  0.4736328 0.47762276 0.006705449 0.37249151    0.48   0.07      0.45
7  0.7772266 0.36705693 0.127379508 0.23253325    0.01   0.54      0.45
8  0.7426563 0.24712803 0.122657308 0.62636635    0.01   0.59      0.40
9  0.8177734 0.09385394 0.179488602 0.39306190    0.01   0.54      0.45
10 0.5180859 0.41991144 0.017209507 0.68496272    0.27   0.30      0.43
