   prop.aneu prob.meio    prob.mito dispersal euploid mosaic aneuploid
1  0.3853516 0.4251241 0.0094772384 0.6029647    0.53   0.14      0.33
2  0.4674609 0.4029609 0.0155999078 0.2990695    0.38   0.23      0.39
3  0.6200000 0.4072534 0.0446906374 0.1058959    0.23   0.33      0.44
4  0.5397266 0.4424834 0.0053279116 0.7374567    0.44   0.04      0.52
5  0.5412109 0.6394113 0.0004093952 0.8370669    0.46   0.00      0.54
6  0.4413672 0.3848372 0.0141738774 0.3143943    0.42   0.21      0.37
7  0.6014453 0.5306331 0.0188996457 0.1966784    0.27   0.21      0.52
8  0.5145703 0.4987182 0.0171131825 0.6339961    0.31   0.25      0.44
9  0.6554688 0.5550640 0.0329223019 0.2233168    0.23   0.22      0.55
10 0.5331250 0.2338516 0.0610568738 0.0136351    0.34   0.34      0.32
