   prop.aneu  prob.meio  prob.mito   dispersal euploid mosaic aneuploid
1  0.7823828 0.36796033 0.13704555 0.681677955    0.00   0.58      0.42
2  0.6485156 0.45668857 0.07080208 0.126783254    0.15   0.40      0.45
3  0.7674609 0.28615664 0.11667398 0.301144964    0.01   0.56      0.43
4  0.7815234 0.02712613 0.16509112 0.356965280    0.00   0.57      0.43
5  0.7145312 0.33461154 0.10181683 0.713399653    0.01   0.56      0.43
6  0.5476953 0.42128771 0.02443037 0.590382342    0.23   0.33      0.44
7  0.7938672 0.14451576 0.17221951 0.606578018    0.00   0.55      0.45
8  0.7205859 0.12506921 0.14379655 0.009995259    0.06   0.54      0.40
9  0.7789844 0.18989741 0.14028732 0.689048068    0.01   0.57      0.42
10 0.7423047 0.38379906 0.11868816 0.239518887    0.02   0.55      0.43
