   prop.aneu prob.meio   prob.mito    dispersal euploid mosaic aneuploid
1  0.6138672 0.6638169 0.008888353 0.6027993488    0.29   0.12      0.59
2  0.5518359 0.3550112 0.029443579 0.6641006814    0.22   0.34      0.44
3  0.7421094 0.4665013 0.097720745 0.0405687054    0.11   0.35      0.54
4  0.4173047 0.3040107 0.021933346 0.6784320581    0.37   0.33      0.30
5  0.2674219 0.2707485 0.004600392 0.5911813523    0.63   0.13      0.24
6  0.7056641 0.6244550 0.045734430 0.1439925137    0.14   0.25      0.61
7  0.5199609 0.3708178 0.030290495 0.7922917083    0.23   0.36      0.41
8  0.4000000 0.2920005 0.024044279 0.1198666829    0.46   0.25      0.29
9  0.6400781 0.2878809 0.079200650 0.0005205458    0.26   0.31      0.43
10 0.6547266 0.5230320 0.013943901 0.0733866449    0.27   0.12      0.61
