"","prob.meio","prob.mito","Euploid","Mosaic Aneuploid","Fully Aneuploid","misclassification"
"107",0.446112498408221,0.0119261714182834,1,556,443,0.2
"296",0.433826494003209,0.0103486206936255,4,550,446,0.2
"420",0.456164435158732,0.00947587789457154,3,547,450,0.2
"266",0.427751372169416,0.0122986582968152,0,594,406,0.2
"134",0.450208701763387,0.0107836373335673,1,544,455,0.2
"262",0.432849531270143,0.0114284899109143,0,602,398,0.2
"327",0.424866497631474,0.0107288055540017,1,545,454,0.2
"467",0.435360383004132,0.0107353388170523,5,556,439,0.2
"309",0.444142057894369,0.0116430580857381,3,556,441,0.2
"212",0.460667767682883,0.0118502226430517,2,569,429,0.2
"430",0.440318587196168,0.00962220753028498,5,547,448,0.2
"66",0.459624280459668,0.0121328990925503,1,558,441,0.2
"194",0.449231779728409,0.0110426224928294,2,548,450,0.2
"230",0.434740691045653,0.0105414889411827,4,559,437,0.2
"346",0.455016507072351,0.0107307222020565,2,531,467,0.2
"360",0.46005512740272,0.0114477093418529,0,541,459,0.2
"91",0.443484711541839,0.010074319864094,3,538,459,0.2
"223",0.443781601947856,0.0116273522461604,0,511,489,0.2
"368",0.441614434530361,0.0108473378854943,2,547,451,0.2
"76",0.421299039540413,0.0108581010153108,3,587,410,0.2
"320",0.42558342148394,0.0107215404653571,2,595,403,0.2
"30",0.425654578293001,0.0111246663109402,1,561,438,0.2
"444",0.438589274914437,0.0106548180171796,1,543,456,0.2
"162",0.427316984117731,0.0101324569707175,2,583,415,0.2
"187",0.433404364287754,0.00981675118978546,4,545,451,0.2
"141",0.435352835109706,0.00999616382046592,4,585,411,0.2
"430.1",0.440318587196168,0.00962220753028498,6,546,448,0.2
"111",0.453597819216638,0.0106147025720366,3,531,466,0.2
"475",0.451292337734502,0.0110089232041478,0,537,463,0.2
"193",0.427328792140995,0.0113579597357942,1,586,413,0.2
"279",0.425838869996954,0.0107306008416894,2,591,407,0.2
"384",0.445771612516398,0.0117531745657822,0,527,473,0.2
"475.1",0.451292337734502,0.0110089232041478,6,566,428,0.2
"4",0.445169100001059,0.00944373140955685,6,556,438,0.2
"219",0.465288739345431,0.0108171403683729,2,533,465,0.2
"226",0.430109748035558,0.0107395432920442,2,595,403,0.2
"387",0.45353601027629,0.0106588966480488,2,555,443,0.2
"87",0.437912121173405,0.0103910396079558,5,551,444,0.2
"393",0.441623516746247,0.0116256522971474,1,550,449,0.2
"9",0.451078470321404,0.0104133219698653,1,555,444,0.2
"173",0.455116451601617,0.0106879235024465,3,551,446,0.2
"434",0.420678119488988,0.0104863202432763,5,585,410,0.2
"147",0.452888653992901,0.0124288116850715,1,570,429,0.2
"240",0.409899681963598,0.0111302040017736,1,585,414,0.2
"435",0.438427825568581,0.0103350295881965,5,548,447,0.2
"467.1",0.435360383004132,0.0107353388170523,1,559,440,0.2
"410",0.462193669752397,0.0105244513678126,2,530,468,0.2
"329",0.452755834842046,0.0111054841130528,4,549,447,0.2
"472",0.438669762722852,0.0108444752607859,2,546,452,0.2
"316",0.443672446866433,0.0100868318052243,2,564,434,0.2
"165",0.456339456220104,0.010408206125886,3,551,446,0.2
"331",0.431918112258687,0.0105210368240406,1,560,439,0.2
"239",0.446045028788552,0.0120811951847955,2,538,460,0.2
"135",0.427139270866486,0.00990926935702854,7,570,423,0.2
"161",0.417492645622209,0.0118688151765594,1,593,406,0.2
"422",0.442065336651651,0.0120320208600158,2,569,429,0.2
"348",0.454281414325078,0.0109126637886411,4,536,460,0.2
"150",0.443812348121765,0.0109993871658901,2,549,449,0.2
"108",0.445682266136375,0.0120166394586676,1,545,454,0.2
"411",0.467467890737392,0.00965996121120436,5,517,478,0.2
"7",0.432681335425478,0.0111555030240139,3,576,421,0.2
"131",0.4444088065055,0.011537968337583,0,522,478,0.2
"159",0.441693362012944,0.00952748693226674,3,523,474,0.2
"124",0.429825291733528,0.0099499714940133,6,559,435,0.2
"296.1",0.433826494003209,0.0103486206936255,4,545,451,0.2
"256",0.453751070613953,0.0110247301967204,1,529,470,0.2
"325",0.458002316567669,0.0111159723960137,1,546,453,0.2
"361",0.456009744228045,0.0109851214004531,2,554,444,0.2
"164",0.441897694640992,0.0103949759577386,0,567,433,0.2
"294",0.447313676406172,0.011054908756448,3,537,460,0.2
"200",0.44032814092739,0.0110088558053305,2,538,460,0.2
"318",0.440166067605151,0.0119636768107839,2,561,437,0.2
"348.1",0.454281414325078,0.0109126637886411,2,520,478,0.2
"69",0.441089617881035,0.0107397152499433,1,554,445,0.2
"200.1",0.44032814092739,0.0110088558053305,1,565,434,0.2
"69.1",0.441089617881035,0.0107397152499433,3,533,464,0.2
"214",0.457170145267317,0.0103430354069829,4,520,476,0.2
"222",0.457718372932403,0.0110848365985687,2,563,435,0.2
"321",0.447657542249505,0.00915709555304849,2,527,471,0.2
"388",0.444102392792334,0.0112816233086361,3,538,459,0.2
"293",0.42506395183736,0.0132250442195893,0,570,430,0.2
"171",0.437373896690227,0.0109874369271923,3,588,409,0.2
"474",0.454914601005111,0.011683915239808,2,542,456,0.2
"230.1",0.434740691045653,0.0105414889411827,3,538,459,0.2
"288",0.456542291917556,0.011636494331063,0,523,477,0.2
"40",0.443573672439904,0.0106435363574613,1,545,454,0.2
"89",0.44733335423668,0.00943991771079616,9,554,437,0.2
"271",0.446552492616767,0.0106481495121492,2,568,430,0.2
"265",0.433424988024591,0.00959836529709567,5,554,441,0.2
"263",0.453292625745763,0.010304306414479,2,554,444,0.2
"27",0.438990386389182,0.0103307867522686,1,535,464,0.2
"289",0.436760150700137,0.0104337495565536,1,543,456,0.2
"426",0.452051869276693,0.0103162754965423,4,502,494,0.2
"308",0.432085076985751,0.011045533516545,3,531,466,0.2
"362",0.453671916849401,0.0107747875417182,1,555,444,0.2
"385",0.456655455186603,0.0109124245610146,0,542,458,0.2
"293.1",0.42506395183736,0.0132250442195893,0,574,426,0.2
"133",0.437934680730897,0.0116569004764368,1,557,442,0.2
"273",0.450716069503949,0.010731879147175,2,573,425,0.2
"454",0.451741991077312,0.0103932930279638,3,550,447,0.2
"12",0.455228613727156,0.0101451014035035,1,521,478,0.2
"449",0.468834818848091,0.0106449066055257,4,537,459,0.2
"466",0.44883734288546,0.0118570431380274,1,541,458,0.2
"346.1",0.455016507072351,0.0107307222020565,3,547,450,0.2
"109",0.453036491052294,0.00986874809552642,2,535,463,0.2
"12.1",0.455228613727156,0.0101451014035035,4,534,462,0.2
"412",0.442064348571274,0.0104165094610326,3,554,443,0.2
"257",0.444376087503979,0.0107659445664959,3,525,472,0.2
"217",0.439224609051271,0.0116039635620922,2,587,411,0.2
"395",0.410396251969257,0.0102097554386547,1,561,438,0.2
"222.1",0.457718372932403,0.0110848365985687,2,552,446,0.2
"394",0.4527196747227,0.0103680100494397,4,539,457,0.2
"192",0.443923614428322,0.01180682965195,1,556,443,0.2
"316.1",0.443672446866433,0.0100868318052243,1,575,424,0.2
"220",0.454165888887581,0.0104055918839676,2,517,481,0.2
"402",0.45269475364156,0.0110741904864541,2,548,450,0.2
"275",0.424880829694111,0.0113565643653532,2,563,435,0.2
"196",0.425533466243812,0.0102667601183332,3,585,412,0.2
"105",0.421330904776148,0.0102255998134842,6,585,409,0.2
"302",0.448747011843179,0.0108377908944739,2,526,472,0.2
"376",0.436025911006608,0.0102331685466866,3,593,404,0.2
"398",0.444806696174143,0.0119148454211195,2,558,440,0.2
"291",0.434086593650479,0.0118792708468779,2,592,406,0.2
"41",0.454169179530629,0.0110014895510401,2,544,454,0.2
"338",0.453033531701623,0.0114471557008451,1,512,487,0.2
"255",0.445490596049165,0.0109684716149161,4,543,453,0.2
"180",0.447032575381648,0.0125407634430295,1,551,448,0.2
"474.1",0.454914601005111,0.011683915239808,0,569,431,0.2
"46",0.431951978007105,0.0105200134959812,3,536,461,0.2
"169",0.449397867259986,0.011565693859656,2,541,457,0.2
"108.1",0.445682266136375,0.0120166394586676,2,539,459,0.2
"242",0.44953494930632,0.0095930034011727,8,527,465,0.2
"242.1",0.44953494930632,0.0095930034011727,2,558,440,0.2
"157",0.465737197119708,0.0120227454196996,0,523,477,0.2
"322",0.439297352519956,0.00995959980728582,1,565,434,0.2
"230.2",0.434740691045653,0.0105414889411827,4,530,466,0.2
"284",0.444091550896365,0.0111145477685392,3,570,427,0.2
"428",0.446414542730462,0.0119515252912029,5,547,448,0.2
"35",0.436251621385038,0.0109139901457442,2,576,422,0.2
"24",0.457777668997032,0.0102848929754961,1,540,459,0.2
"70",0.457878515073792,0.0111526295728594,2,556,442,0.2
"215",0.42570641707098,0.0117901924199041,2,564,434,0.2
"210",0.435424141057986,0.010508157373637,4,569,427,0.2
"436",0.443560558367661,0.0111123670116124,1,589,410,0.2
"268",0.452832056514321,0.0108450688316984,1,529,470,0.2
"245",0.469635253611141,0.0108562443327148,0,533,467,0.2
"385.1",0.456655455186603,0.0109124245610146,3,542,455,0.2
"359",0.45528541703783,0.0113268708577239,0,528,472,0.2
"41.1",0.454169179530629,0.0110014895510401,2,553,445,0.2
"300",0.451363309465318,0.00994095657491745,2,562,436,0.2
"58",0.444496816244168,0.0110120101178247,1,573,426,0.2
"258",0.41142934919352,0.0108696919041283,2,607,391,0.2
"394.1",0.4527196747227,0.0103680100494397,1,544,455,0.2
"454.1",0.451741991077312,0.0103932930279638,2,526,472,0.2
"457",0.433908735708125,0.0112267838048572,0,573,427,0.2
"435.1",0.438427825568581,0.0103350295881965,5,548,447,0.2
"324",0.426745535773326,0.0104743726472197,1,561,438,0.2
"242.2",0.44953494930632,0.0095930034011727,1,556,443,0.2
"149",0.435998715664553,0.010975516731435,2,560,438,0.2
"18",0.457880021759569,0.00970303024132934,4,524,472,0.2
"474.2",0.454914601005111,0.011683915239808,1,527,472,0.2
"42",0.438862230615984,0.0112547470633258,0,565,435,0.2
"248",0.482539162716442,0.0119325977664361,1,518,481,0.2
