"","prob.meio","prob.mito","Euploid","Mosaic Aneuploid","Fully Aneuploid","misclassification"
"33",0.427994506148502,0.0653059200182791,0,562,438,0.2
"258",0.419813485477342,0.0685724377142939,0,583,417,0.2
"163",0.333578358005514,0.0843995016552981,0,633,367,0.2
"362",0.352788606002862,0.0793503339741831,0,635,365,0.2
"265",0.400037212325092,0.0736902720901706,0,600,400,0.2
"417",0.382116878954238,0.0684354350848262,0,611,389,0.2
"506",0.398104347207916,0.0662180104802979,0,618,382,0.2
"266",0.370969467541468,0.0727054724419851,0,645,355,0.2
"79",0.373783579954204,0.0763801618411724,0,640,360,0.2
"152",0.386431731662908,0.0739004776664216,0,609,391,0.2
"250",0.34399366339763,0.0731363564275306,0,635,365,0.2
"359",0.359379731383581,0.080173107607769,0,632,368,0.2
"64",0.382813873278572,0.0684879237731392,0,597,403,0.2
"153",0.332857157529913,0.0826427061397245,0,649,351,0.2
"189",0.363704461137818,0.0732338213307683,0,637,363,0.2
"98",0.332502675430776,0.0805252899917462,0,668,332,0.2
"377",0.387953308202042,0.0778623458203231,0,591,409,0.2
"494",0.424617694700373,0.0651462721196758,0,579,421,0.2
"345",0.331472896925748,0.0832800950784667,0,683,317,0.2
"250.1",0.34399366339763,0.0731363564275306,0,676,324,0.2
"282",0.368725823148775,0.0825974394981819,0,593,407,0.2
"518",0.391244304124465,0.0730149772241544,0,595,405,0.2
"518.1",0.391244304124465,0.0730149772241544,0,602,398,0.2
"703",0.31631807960671,0.0836117476433479,0,701,299,0.2
"96",0.327938442704099,0.0800839330456852,0,664,336,0.2
"401",0.298495720925996,0.0916188580871392,0,713,287,0.2
"262",0.401613215734034,0.0718052340370793,0,598,402,0.2
"261",0.393359199534487,0.0688946830118311,0,580,420,0.2
"429",0.394908583610136,0.0744963845225732,0,600,400,0.2
"342",0.327912163057429,0.0777477478049614,0,669,331,0.2
"402",0.330155915104472,0.0918225854007676,0,665,335,0.2
"465",0.336715096609642,0.0802784125337535,0,667,333,0.2
"513",0.311556045549735,0.0820177837830185,0,710,290,0.2
"60",0.36326889128044,0.0812368369571037,0,642,358,0.2
"211",0.32309464821139,0.0735439660839887,0,669,331,0.2
