"","prob.meio","prob.mito","Euploid","Mosaic Aneuploid","Fully Aneuploid","misclassification"
"343",0.665886614869909,0.0104916060144947,2,335,663,0.9
"460",0.678059055897707,0.00910001887178185,2,344,654,0.9
"206",0.681063535554195,0.0109108702882438,1,317,682,0.9
"429",0.683342690562098,0.0111455512289572,2,318,680,0.9
"299",0.671803160309582,0.00887129933171585,4,289,707,0.9
"386",0.651923707121264,0.0109911297383531,5,354,641,0.9
"161",0.671093874403178,0.00733668862500769,6,339,655,0.9
"16",0.655379371962243,0.0100196823544783,1,355,644,0.9
"395",0.66065186076032,0.0122008116165599,0,328,672,0.9
"198",0.65227526949094,0.0117841131485117,0,345,655,0.9
"442",0.672052824934053,0.0120437901143776,0,310,690,0.9
"86",0.687578250442183,0.01041701052558,1,313,686,0.9
"439",0.666815285362293,0.0136816597553289,0,309,691,0.9
"393",0.656186598196551,0.0133072857279407,0,342,658,0.9
"396",0.671820840081864,0.0109770336284455,0,319,681,0.9
"17",0.674726023771667,0.0129776514616466,0,307,693,0.9
"171",0.653316942838338,0.0100878108539832,1,355,644,0.9
"372",0.687279003752731,0.0118398029350544,2,314,684,0.9
"332",0.680862245388996,0.0093343566287838,2,297,701,0.9
"295",0.685890240466086,0.0112542540845511,1,333,666,0.9
"74",0.660886939970182,0.0117201263658046,1,357,642,0.9
"415",0.668832713289616,0.007842904739266,5,328,667,0.9
"153",0.658000427326401,0.0124469292127652,0,330,670,0.9
"407",0.645990336626951,0.0100465630159356,3,328,669,0.9
"308",0.64966869248648,0.0115333366613966,2,346,652,0.9
"396.1",0.671820840081864,0.0109770336284455,1,327,672,0.9
"400",0.674887420408023,0.0133767975514737,0,310,690,0.9
"150",0.670803916665244,0.00936618721087381,0,319,681,0.9
"237",0.679022418645666,0.0119419758884647,0,288,712,0.9
"437",0.68142765085641,0.0114424140986949,0,310,690,0.9
"62",0.661615133088332,0.0126555612007564,0,328,672,0.9
"37",0.668388348197617,0.0104130615101651,1,335,664,0.9
"94",0.657974229466325,0.0113341161246367,2,353,645,0.9
"259",0.691804162791731,0.0115832766344397,1,296,703,0.9
"427",0.673721963364282,0.0123633233611446,1,347,652,0.9
"287",0.673579341479074,0.012112894675982,1,328,671,0.9
"220",0.663953934539262,0.0105263944270222,1,332,667,0.9
"37.1",0.668388348197617,0.0104130615101651,0,331,669,0.9
"7",0.654794047641346,0.00708307878940451,12,325,663,0.9
"396.2",0.671820840081864,0.0109770336284455,1,327,672,0.9
"189",0.653203088506667,0.0088626233182075,1,364,635,0.9
"365",0.67433429911263,0.00800016016298856,5,340,655,0.9
"253",0.648486358232818,0.0110044287985592,5,348,647,0.9
"89",0.673035728271845,0.0101106957979122,1,289,710,0.9
"244",0.669801911624825,0.0109675227253945,2,326,672,0.9
"426",0.673713356341907,0.00882765645945144,5,339,656,0.9
"149",0.65934558572258,0.0133886256470952,0,355,645,0.9
"448",0.634128756111291,0.0109952888679885,0,356,644,0.9
"365.1",0.67433429911263,0.00800016016298856,5,299,696,0.9
"58",0.65173239430757,0.0125246258961934,3,370,627,0.9
"281",0.662237491339961,0.0165513166615109,0,353,647,0.9
"259.1",0.691804162791731,0.0115832766344397,0,292,708,0.9
"417",0.677463745058698,0.00892756112683608,2,311,687,0.9
"54",0.673062120833477,0.0078978266467547,8,346,646,0.9
"27",0.672471697151287,0.0087638590687874,2,318,680,0.9
"421",0.665331694726998,0.00885967134618107,2,334,664,0.9
"12",0.683337939094897,0.0114940444914019,0,317,683,0.9
"153.1",0.658000427326401,0.0124469292127652,1,331,668,0.9
"404",0.667596364359914,0.0125237938233913,2,326,672,0.9
"244.1",0.669801911624825,0.0109675227253945,1,354,645,0.9
"256",0.648395639867717,0.011228762598201,1,332,667,0.9
"130",0.650054486647583,0.00976317788558526,0,326,674,0.9
"121",0.674233921187135,0.011331046005841,0,340,660,0.9
"445",0.640493707329229,0.0104012490358369,2,357,641,0.9
"343.1",0.665886614869909,0.0104916060144947,0,352,648,0.9
"30",0.671541241741209,0.00879636462655146,4,330,666,0.9
"280",0.654966187018391,0.0118659731618032,0,315,685,0.9
"234",0.670793957764887,0.00977374169309677,1,308,691,0.9
"298",0.671159387148475,0.00957843449220727,2,324,674,0.9
"422",0.662220991349852,0.00737570267990563,7,320,673,0.9
"96",0.647258834856924,0.0119686536522445,0,354,646,0.9
"216",0.645888001992011,0.0119708008895238,0,343,657,0.9
"226",0.676508245155819,0.0104109937543244,3,338,659,0.9
"393.1",0.656186598196551,0.0133072857279407,0,348,652,0.9
"156",0.678931189071723,0.00885927750328322,3,330,667,0.9
"58.1",0.65173239430757,0.0125246258961934,0,321,679,0.9
"498",0.663487157354984,0.00981642760583029,3,353,644,0.9
"224",0.672793883129079,0.012245250130666,1,342,657,0.9
"83",0.661172617849556,0.00971262440481085,1,326,673,0.9
"308.1",0.64966869248648,0.0115333366613966,2,345,653,0.9
"47",0.667365509437061,0.00891282400035923,2,323,675,0.9
"131",0.672158727280503,0.0113864746326553,0,351,649,0.9
"115",0.678585533126556,0.00863958429992617,2,344,654,0.9
"373",0.660932489033059,0.012685854201585,0,336,664,0.9
"126",0.675655500567488,0.0106405470069346,2,327,671,0.9
"30.1",0.671541241741209,0.00879636462655146,5,335,660,0.9
"312",0.655006583328238,0.00909966548438614,4,330,666,0.9
"387",0.656008490389459,0.010761411359247,0,364,636,0.9
"93",0.661566214940364,0.0111342825331074,0,353,647,0.9
"466",0.6773716231257,0.00961904871706307,2,323,675,0.9
"69",0.658053798689307,0.0102506628476678,1,345,654,0.9
"199",0.683686168878522,0.0117736861409682,0,301,699,0.9
"175",0.689272600940822,0.0114461769025975,1,303,696,0.9
"363",0.674558111222417,0.00654639833639832,9,309,682,0.9
"30.2",0.671541241741209,0.00879636462655146,5,335,660,0.9
"451",0.680029591996044,0.00973705368726738,2,320,678,0.9
"258",0.682011522332136,0.00700589699800488,10,294,696,0.9
"409",0.651166749365965,0.0113306975137786,1,346,653,0.9
"29",0.675283087123357,0.0107147013804587,0,326,674,0.9
"428",0.657187791119839,0.0100283708723313,0,361,639,0.9
"354",0.682643544768702,0.0113507393788035,1,327,672,0.9
"213",0.695874318107809,0.010240932419774,0,321,679,0.9
"160",0.688859174847373,0.0113179442302842,0,317,683,0.9
"250",0.66505513965039,0.00966173218442939,2,352,646,0.9
"254",0.684852507254736,0.00968120834831252,2,298,700,0.9
"229",0.656169071546608,0.0117768645989229,2,339,659,0.9
"271",0.664843332109845,0.0108655903925938,2,314,684,0.9
"394",0.693507106298071,0.0117260753119649,1,327,672,0.9
"342",0.659698746172842,0.011483253264057,2,342,656,0.9
