X,prop.aneu,prob.meio,prob.mito,dispersal,euploid,mosaic,aneuploid,embryo,first_biopsy_cell,second_biopsy_cell,first_biopsy_type,second_biopsy_type,embryo_type
400001,1,0.556660953302199,0.0228006316529617,0.5,0.239,0.213,0.548,,5,5,Aneuploid,Aneuploid,Fully Aneuploid
400002,0.2265625,0.556660953302199,0.0228006316529617,0.5,0.239,0.213,0.548,,0,1,Euploid,Mosaic,Mosaic Aneuploid
400003,0.0703125,0.556660953302199,0.0228006316529617,0.5,0.239,0.213,0.548,,0,0,Euploid,Euploid,Mosaic Aneuploid
400004,1,0.556660953302199,0.0228006316529617,0.5,0.239,0.213,0.548,,5,5,Aneuploid,Aneuploid,Fully Aneuploid
400005,0.2109375,0.556660953302199,0.0228006316529617,0.5,0.239,0.213,0.548,,1,2,Mosaic,Mosaic,Mosaic Aneuploid
400006,0.1015625,0.556660953302199,0.0228006316529617,0.5,0.239,0.213,0.548,,1,2,Mosaic,Mosaic,Mosaic Aneuploid
400007,1,0.556660953302199,0.0228006316529617,0.5,0.239,0.213,0.548,,5,5,Aneuploid,Aneuploid,Fully Aneuploid
400008,0.19140625,0.556660953302199,0.0228006316529617,0.5,0.239,0.213,0.548,,0,1,Euploid,Mosaic,Mosaic Aneuploid
400009,0.0625,0.556660953302199,0.0228006316529617,0.5,0.239,0.213,0.548,,0,2,Euploid,Mosaic,Mosaic Aneuploid
400010,0.05078125,0.556660953302199,0.0228006316529617,0.5,0.239,0.213,0.548,,0,2,Euploid,Mosaic,Mosaic Aneuploid
400011,1,0.556660953302199,0.0228006316529617,0.5,0.239,0.213,0.548,,5,5,Aneuploid,Aneuploid,Fully Aneuploid
400012,1,0.556660953302199,0.0228006316529617,0.5,0.239,0.213,0.548,,5,5,Aneuploid,Aneuploid,Fully Aneuploid
400013,0.1171875,0.556660953302199,0.0228006316529617,0.5,0.239,0.213,0.548,,0,2,Euploid,Mosaic,Mosaic Aneuploid
400014,1,0.556660953302199,0.0228006316529617,0.5,0.239,0.213,0.548,,5,5,Aneuploid,Aneuploid,Fully Aneuploid
400015,1,0.556660953302199,0.0228006316529617,0.5,0.239,0.213,0.548,,5,5,Aneuploid,Aneuploid,Fully Aneuploid
400016,1,0.556660953302199,0.0228006316529617,0.5,0.239,0.213,0.548,,5,5,Aneuploid,Aneuploid,Fully Aneuploid
400017,1,0.556660953302199,0.0228006316529617,0.5,0.239,0.213,0.548,,5,5,Aneuploid,Aneuploid,Fully Aneuploid
