   prop.aneu   prob.meio   prob.mito euploid mosaic aneuploid
1  0.6392187 0.399728219 0.063394984    0.30   0.19      0.51
2  0.6133984 0.383759999 0.057557257    0.28   0.29      0.43
3  0.6794141 0.153389337 0.126650244    0.17   0.45      0.38
4  0.8225000 0.011499137 0.198878657    0.02   0.48      0.50
5  0.6755078 0.077037945 0.117827611    0.13   0.39      0.48
6  0.7467187 0.187671692 0.131239364    0.12   0.42      0.46
7  0.7808203 0.208405755 0.153781973    0.07   0.43      0.50
8  0.6090234 0.258665798 0.081838034    0.24   0.40      0.36
9  0.6648828 0.091339730 0.121423908    0.09   0.56      0.35
10 0.6458984 0.420775640 0.057173315    0.24   0.25      0.51
11 0.4324219 0.365510141 0.024110123    0.50   0.16      0.34
12 0.6164844 0.449884575 0.045651827    0.26   0.25      0.49
13 0.7880469 0.122132982 0.164525782    0.06   0.50      0.44
14 0.7907812 0.028798948 0.178300690    0.02   0.49      0.49
15 0.7007422 0.410340448 0.092290074    0.21   0.30      0.49
16 0.6747266 0.303328252 0.097474742    0.13   0.39      0.48
17 0.7748828 0.119947649 0.151301078    0.06   0.42      0.52
18 0.5155859 0.218200094 0.069803833    0.29   0.33      0.38
19 0.4389453 0.371291796 0.019484361    0.48   0.16      0.36
20 0.7508984 0.183433208 0.146755312    0.05   0.44      0.51
21 0.5299219 0.348703780 0.038207403    0.45   0.19      0.36
22 0.7006641 0.163826145 0.125060759    0.17   0.47      0.36
23 0.5801953 0.362169949 0.064347752    0.20   0.42      0.38
24 0.6101953 0.330601339 0.072720368    0.21   0.40      0.39
25 0.7005859 0.324647777 0.102113988    0.17   0.41      0.42
26 0.5401563 0.485192543 0.004656459    0.42   0.05      0.53
27 0.7230078 0.108234903 0.137445220    0.13   0.50      0.37
28 0.8087891 0.213685540 0.169430075    0.02   0.44      0.54
29 0.7181641 0.008960831 0.140920603    0.09   0.57      0.34
30 0.6985938 0.370513573 0.089458004    0.20   0.30      0.50
31 0.4069922 0.359687974 0.005580619    0.56   0.06      0.38
32 0.6487109 0.295959699 0.079531864    0.21   0.35      0.44
33 0.7283203 0.214468495 0.144966721    0.11   0.42      0.47
34 0.7142578 0.027003326 0.143128647    0.03   0.55      0.42
35 0.7460938 0.001277544 0.158592215    0.07   0.51      0.42
36 0.6852344 0.049113717 0.126942749    0.14   0.46      0.40
37 0.5773047 0.389189745 0.040225352    0.38   0.20      0.42
38 0.7346484 0.055737384 0.148287064    0.12   0.47      0.41
39 0.6821484 0.539782320 0.056606216    0.21   0.25      0.54
40 0.7680859 0.314677559 0.130981911    0.09   0.39      0.52
41 0.5496484 0.501525716 0.010345863    0.39   0.08      0.53
42 0.5415234 0.598786645 0.005820138    0.43   0.04      0.53
43 0.6008594 0.180141550 0.087876214    0.27   0.40      0.33
44 0.6774609 0.397680277 0.088237853    0.17   0.39      0.44
45 0.7414063 0.158196079 0.134316944    0.06   0.57      0.37
46 0.7710547 0.164946845 0.149050501    0.09   0.42      0.49
47 0.5182031 0.370449337 0.026580895    0.39   0.20      0.41
48 0.6642187 0.274533299 0.114006679    0.15   0.48      0.37
49 0.6998047 0.238579141 0.118872468    0.15   0.45      0.40
50 0.5865234 0.101841470 0.084621633    0.23   0.40      0.37
