   prop.aneu  prob.meio    prob.mito euploid mosaic aneuploid
1  0.5098438 0.27041267 0.0507330741    0.40   0.28      0.32
2  0.7056641 0.36333911 0.1068732657    0.15   0.37      0.48
3  0.6347656 0.55759919 0.0071069181    0.36   0.02      0.62
4  0.7076172 0.59064604 0.0656840147    0.15   0.26      0.59
5  0.4739453 0.34732679 0.0313884739    0.41   0.18      0.41
6  0.6503906 0.56073397 0.0248476798    0.25   0.19      0.56
7  0.5956641 0.32238068 0.0499641821    0.29   0.28      0.43
8  0.6642578 0.30105098 0.0946636277    0.17   0.35      0.48
9  0.5457812 0.14622090 0.0754768490    0.33   0.43      0.24
10 0.7062500 0.45880855 0.0805318209    0.15   0.28      0.57
11 0.4937891 0.31569873 0.0315223576    0.39   0.21      0.40
12 0.3699219 0.10549556 0.0380132650    0.45   0.36      0.19
13 0.4734766 0.41315033 0.0079484514    0.46   0.10      0.44
14 0.7783594 0.32211340 0.1306093072    0.14   0.31      0.55
15 0.6378516 0.52012336 0.0261597417    0.31   0.13      0.56
16 0.4087891 0.20438898 0.0367052802    0.44   0.32      0.24
17 0.6912500 0.52688793 0.0649743190    0.20   0.26      0.54
18 0.6783203 0.56143295 0.0345282645    0.24   0.12      0.64
19 0.5683203 0.36128114 0.0603578405    0.27   0.33      0.40
20 0.5827344 0.43069620 0.0470695142    0.32   0.23      0.45
21 0.6260938 0.29707591 0.0807514531    0.21   0.38      0.41
22 0.6773438 0.18954477 0.1086814408    0.24   0.31      0.45
23 0.3475000 0.17620532 0.0336894805    0.54   0.27      0.19
24 0.5107031 0.33114815 0.0412061270    0.36   0.27      0.37
25 0.3432422 0.30931698 0.0094841497    0.55   0.16      0.29
26 0.5262500 0.50453630 0.0211103444    0.40   0.14      0.46
27 0.7075391 0.55995076 0.0393958553    0.25   0.12      0.63
28 0.6570312 0.60083714 0.0064387701    0.32   0.04      0.64
29 0.6851172 0.31079772 0.0942276567    0.22   0.35      0.43
30 0.6844141 0.43138099 0.0674364541    0.24   0.24      0.52
31 0.4434766 0.16270731 0.0470093023    0.35   0.40      0.25
32 0.4355469 0.27765596 0.0192308926    0.44   0.19      0.37
33 0.6533984 0.32379175 0.0836013868    0.26   0.26      0.48
34 0.6860547 0.46167972 0.0738554264    0.22   0.26      0.52
35 0.6790234 0.53071966 0.0518219974    0.21   0.26      0.53
36 0.7570703 0.52860357 0.0886710675    0.16   0.23      0.61
37 0.7157031 0.45833738 0.0631452578    0.22   0.22      0.56
38 0.5811719 0.56088950 0.0189457994    0.32   0.16      0.52
39 0.5741797 0.16003831 0.0693916408    0.32   0.36      0.32
40 0.6413281 0.63640590 0.0009755946    0.35   0.01      0.64
41 0.5496875 0.29195071 0.0558087188    0.41   0.20      0.39
42 0.5134766 0.09878370 0.0641113869    0.30   0.42      0.28
43 0.3746094 0.06536565 0.0535950658    0.44   0.32      0.24
44 0.5563672 0.51380496 0.0304036571    0.38   0.16      0.46
45 0.5349219 0.32731198 0.0256642182    0.38   0.16      0.46
46 0.7040625 0.44328609 0.0792956473    0.22   0.20      0.58
47 0.5601172 0.40820379 0.0460866075    0.38   0.21      0.41
48 0.5060156 0.25274991 0.0443048480    0.38   0.26      0.36
49 0.6751563 0.49421181 0.0610269434    0.18   0.20      0.62
50 0.7189062 0.54237366 0.0510243140    0.18   0.21      0.61
