      prob.meio   prob.mito euploid mosaic aneuploid
1  2.509168e-01 0.068419646    0.31   0.36      0.33
2  9.405120e-02 0.150144205    0.03   0.49      0.48
3  5.288759e-01 0.003692034    0.51   0.02      0.47
4  1.098287e-01 0.186984532    0.06   0.46      0.48
5  3.866388e-01 0.111106773    0.10   0.38      0.52
6  3.249630e-01 0.132186819    0.06   0.44      0.50
7  4.025098e-01 0.081430590    0.22   0.26      0.52
8  8.314669e-02 0.109798805    0.19   0.47      0.34
9  8.990740e-02 0.135770853    0.11   0.47      0.42
10 3.992103e-01 0.068840988    0.25   0.26      0.49
11 2.409939e-01 0.114827757    0.14   0.43      0.43
12 5.006015e-01 0.045637022    0.28   0.24      0.48
13 4.565900e-01 0.073018715    0.21   0.26      0.53
14 1.651565e-01 0.160986422    0.05   0.47      0.48
15 4.904938e-02 0.133860271    0.11   0.53      0.36
16 1.350532e-01 0.161240468    0.04   0.50      0.46
17 4.729170e-01 0.017580696    0.37   0.11      0.52
18 1.105428e-01 0.167133664    0.03   0.47      0.50
19 3.106909e-01 0.039287617    0.31   0.32      0.37
20 1.450270e-01 0.142305247    0.08   0.48      0.44
21 5.986709e-03 0.142735654    0.14   0.48      0.38
22 2.737658e-01 0.029634312    0.52   0.16      0.32
23 3.494447e-01 0.095243866    0.19   0.29      0.52
24 1.733835e-01 0.153263216    0.04   0.46      0.50
25 3.035562e-01 0.001243694    0.66   0.01      0.33
26 3.586067e-01 0.043535760    0.40   0.19      0.41
27 3.598411e-01 0.076694647    0.19   0.33      0.48
28 1.592581e-01 0.131343784    0.12   0.43      0.45
29 4.522384e-01 0.011714781    0.54   0.09      0.37
30 1.427186e-01 0.090665470    0.20   0.47      0.33
31 3.329835e-01 0.067642572    0.22   0.38      0.40
32 3.426038e-01 0.058511211    0.32   0.19      0.49
33 3.010640e-01 0.018782522    0.50   0.15      0.35
34 4.532374e-01 0.040366453    0.34   0.21      0.45
35 3.642921e-01 0.072779217    0.22   0.35      0.43
36 3.228191e-01 0.070067854    0.25   0.37      0.38
37 2.874115e-01 0.003355198    0.54   0.07      0.39
38 4.023927e-01 0.011426129    0.46   0.15      0.39
39 1.000379e-01 0.196781270    0.02   0.45      0.53
40 3.069954e-01 0.059005826    0.25   0.31      0.44
41 2.059038e-01 0.117584253    0.15   0.36      0.49
42 4.064587e-01 0.045147433    0.33   0.24      0.43
43 4.051187e-01 0.095216997    0.15   0.38      0.47
44 2.607458e-01 0.122351065    0.11   0.40      0.49
45 2.431008e-05 0.159340430    0.12   0.48      0.40
46 2.385962e-01 0.174731405    0.03   0.46      0.51
47 7.096805e-03 0.135906800    0.09   0.58      0.33
48 3.273686e-01 0.029969619    0.32   0.21      0.47
49 1.965416e-01 0.151263770    0.07   0.47      0.46
50 1.941028e-01 0.182833160    0.02   0.45      0.53
