   prop.aneu prob.meio    prob.mito euploid mosaic aneuploid
1  0.5057422 0.6133765 0.0107840872    0.42   0.09      0.49
2  0.6272266 0.5342001 0.0309759830    0.31   0.13      0.56
3  0.7205469 0.4756336 0.0823693532    0.21   0.27      0.52
4  0.3508594 0.3717923 0.0027788922    0.64   0.02      0.34
5  0.7272656 0.3455128 0.0961299820    0.18   0.31      0.51
6  0.7563672 0.4602449 0.1028995418    0.13   0.30      0.57
7  0.4692578 0.4902215 0.0033088741    0.51   0.03      0.46
8  0.6818359 0.6231622 0.0320068509    0.22   0.17      0.61
9  0.7026562 0.4583631 0.0758594128    0.17   0.28      0.55
10 0.7685156 0.4021205 0.1101137251    0.13   0.31      0.56
11 0.5720312 0.3111374 0.0599749098    0.30   0.33      0.37
12 0.7240234 0.4718640 0.0883267522    0.13   0.30      0.57
13 0.6215625 0.3155208 0.0715299807    0.22   0.36      0.42
14 0.6041797 0.5133829 0.0268034856    0.32   0.15      0.53
15 0.7463281 0.3323804 0.1207541018    0.14   0.30      0.56
16 0.7467187 0.5065499 0.0674048967    0.15   0.24      0.61
17 0.4400391 0.1487998 0.0553718896    0.35   0.41      0.24
18 0.5139453 0.3964715 0.0259757126    0.41   0.18      0.41
19 0.6838672 0.5381518 0.0462698191    0.18   0.21      0.61
20 0.5357422 0.4568693 0.0203747568    0.42   0.09      0.49
21 0.6815625 0.3758716 0.0843148250    0.17   0.32      0.51
22 0.4533203 0.1143797 0.0500551332    0.33   0.39      0.28
23 0.5090625 0.2081785 0.0590038258    0.36   0.35      0.29
24 0.7370313 0.6408504 0.0437946578    0.19   0.17      0.64
25 0.4285156 0.3632685 0.0243078398    0.47   0.17      0.36
26 0.3588281 0.2101064 0.0293914010    0.51   0.26      0.23
27 0.7336719 0.4826660 0.0777234046    0.18   0.21      0.61
28 0.5624219 0.5466311 0.0141365102    0.44   0.04      0.52
29 0.5554297 0.2697623 0.0552661673    0.29   0.31      0.40
30 0.6233594 0.6150062 0.0419442842    0.32   0.15      0.53
31 0.6776953 0.4337541 0.0766681321    0.22   0.27      0.51
32 0.4725000 0.1666801 0.0598093010    0.41   0.31      0.28
33 0.4600391 0.1547140 0.0611204356    0.41   0.39      0.20
34 0.6500391 0.5019952 0.0605359331    0.20   0.31      0.49
35 0.6114453 0.4514694 0.0254341392    0.30   0.19      0.51
36 0.6396875 0.5349755 0.0306004200    0.30   0.14      0.56
37 0.4030859 0.4431330 0.0005844273    0.58   0.02      0.40
38 0.5442187 0.3755054 0.0440465389    0.29   0.30      0.41
39 0.6609766 0.3269471 0.0825016792    0.21   0.35      0.44
40 0.3413672 0.1278164 0.0282004862    0.48   0.31      0.21
41 0.8034766 0.5762485 0.1066764065    0.15   0.23      0.62
42 0.7685937 0.2511544 0.1348658912    0.13   0.36      0.51
43 0.7118750 0.4426255 0.0758328165    0.16   0.27      0.57
44 0.6970703 0.2166432 0.0941614367    0.13   0.36      0.51
45 0.7009766 0.5225977 0.0275013326    0.29   0.08      0.63
46 0.5660156 0.2421634 0.0727499714    0.22   0.43      0.35
47 0.6071875 0.4815330 0.0456702865    0.32   0.18      0.50
48 0.4769531 0.2278774 0.0526148821    0.41   0.29      0.30
49 0.3627344 0.2366919 0.0255246891    0.52   0.24      0.24
50 0.4025391 0.2457175 0.0395210269    0.44   0.35      0.21
