   prop.aneu prob.meio   prob.mito euploid mosaic aneuploid
1  0.6011328 0.4594351 0.039699746    0.30   0.22      0.48
2  0.4425781 0.4742945 0.020237521    0.51   0.14      0.35
3  0.6242578 0.4338012 0.062500803    0.29   0.27      0.44
4  0.4611719 0.3512928 0.025021443    0.47   0.17      0.36
5  0.4616406 0.4621822 0.011985120    0.49   0.11      0.40
6  0.5760156 0.3276159 0.064403553    0.29   0.30      0.41
7  0.5485547 0.3203431 0.053566356    0.36   0.28      0.36
8  0.4105469 0.4009297 0.007909623    0.51   0.12      0.37
9  0.5284375 0.3952210 0.025523863    0.35   0.19      0.46
10 0.6782422 0.4983509 0.069749816    0.24   0.26      0.50
