    prob.meio  prob.mito euploid mosaic aneuploid
1  0.11593760 0.18392687    0.02   0.44      0.54
2  0.10806437 0.12919935    0.17   0.45      0.38
3  0.35357416 0.14856798    0.07   0.37      0.56
4  0.06227165 0.22788686    0.02   0.29      0.69
5  0.39770984 0.17865331    0.01   0.29      0.70
6  0.10685058 0.15899483    0.11   0.37      0.52
7  0.37641963 0.13754190    0.07   0.36      0.57
8  0.18123116 0.03238913    0.52   0.28      0.20
9  0.57585693 0.01279560    0.37   0.11      0.52
10 0.29775807 0.12343115    0.05   0.43      0.52
