   prob.meio  prob.mito euploid mosaic aneuploid
1  0.3590166 0.12163203    0.12   0.35      0.53
2  0.2373393 0.03932656    0.39   0.31      0.30
3  0.4405978 0.10300630    0.08   0.40      0.52
4  0.2210696 0.12936300    0.09   0.33      0.58
5  0.5540865 0.01331229    0.39   0.02      0.59
6  0.4993609 0.04241809    0.26   0.19      0.55
7  0.3025166 0.05241992    0.35   0.30      0.35
8  0.3242191 0.06361627    0.31   0.24      0.45
9  0.2302177 0.08861507    0.21   0.37      0.42
10 0.3727225 0.08644587    0.12   0.31      0.57
11 0.4321293 0.13092148    0.10   0.25      0.65
12 0.2210520 0.02201460    0.57   0.15      0.28
13 0.2153109 0.04018467    0.44   0.32      0.24
14 0.3936384 0.03039804    0.44   0.20      0.36
15 0.4589811 0.04890663    0.21   0.18      0.61
16 0.3282752 0.05995535    0.30   0.31      0.39
17 0.3212409 0.10417825    0.15   0.40      0.45
18 0.5034405 0.14219156    0.08   0.32      0.60
19 0.2124736 0.05652608    0.34   0.33      0.33
20 0.6238031 0.02390710    0.21   0.14      0.65
21 0.3021841 0.07899818    0.25   0.33      0.42
22 0.2352515 0.02595215    0.49   0.20      0.31
23 0.3408677 0.04425415    0.31   0.25      0.44
24 0.4230738 0.02000907    0.40   0.11      0.49
25 0.5676694 0.01701059    0.31   0.12      0.57
26 0.3218259 0.13481035    0.11   0.35      0.54
27 0.4071240 0.04539234    0.30   0.20      0.50
28 0.5580548 0.02414142    0.31   0.11      0.58
29 0.1024530 0.12234536    0.14   0.38      0.48
30 0.2613474 0.03870838    0.44   0.24      0.32
31 0.3061827 0.05094414    0.34   0.30      0.36
32 0.3299899 0.15064920    0.06   0.34      0.60
33 0.3283536 0.08748404    0.20   0.34      0.46
34 0.1950053 0.08986324    0.32   0.35      0.33
35 0.3745068 0.09859959    0.21   0.29      0.50
36 0.5274969 0.06373707    0.15   0.20      0.65
37 0.4913702 0.03416880    0.22   0.28      0.50
38 0.4886352 0.03948874    0.28   0.22      0.50
39 0.4540918 0.12906559    0.09   0.27      0.64
40 0.5971732 0.03116251    0.31   0.07      0.62
41 0.1450468 0.14498749    0.11   0.36      0.53
42 0.4831655 0.04441955    0.30   0.24      0.46
43 0.2151135 0.13323669    0.08   0.40      0.52
44 0.4464108 0.01271381    0.37   0.11      0.52
45 0.4043198 0.08447241    0.22   0.28      0.50
46 0.4757295 0.09413202    0.15   0.27      0.58
47 0.3204025 0.06285593    0.30   0.26      0.44
48 0.4092557 0.01616766    0.50   0.14      0.36
49 0.5858872 0.01811713    0.37   0.13      0.50
50 0.5001551 0.03076641    0.29   0.13      0.58
