   prop.aneu  prob.meio   prob.mito euploid mosaic aneuploid
1  0.7625000 0.26344440 0.119137844    0.12   0.29      0.59
2  0.4818750 0.21079097 0.047925731    0.43   0.31      0.26
3  0.7698047 0.35765356 0.108681524    0.16   0.22      0.62
4  0.7686719 0.50895384 0.082241278    0.11   0.30      0.59
5  0.7018750 0.42584648 0.087477372    0.21   0.30      0.49
6  0.7168359 0.60005825 0.050972397    0.22   0.13      0.65
7  0.6803516 0.57504253 0.057800496    0.19   0.25      0.56
8  0.5689062 0.39703878 0.058153184    0.35   0.28      0.37
9  0.4688672 0.39745658 0.026365087    0.45   0.17      0.38
10 0.4962500 0.28399800 0.042930107    0.37   0.29      0.34
11 0.2985937 0.20245942 0.024295184    0.55   0.26      0.19
12 0.6308984 0.53929150 0.046252850    0.25   0.23      0.52
13 0.5407031 0.45934812 0.042901555    0.28   0.29      0.43
14 0.3935938 0.18714090 0.038948506    0.47   0.32      0.21
15 0.3426172 0.27122940 0.015614402    0.58   0.14      0.28
16 0.7572266 0.61914719 0.060012267    0.19   0.15      0.66
17 0.6326563 0.16067847 0.093685157    0.23   0.37      0.40
18 0.4598828 0.05564512 0.072370043    0.42   0.35      0.23
19 0.7025391 0.52685252 0.068965979    0.18   0.26      0.56
20 0.5724219 0.34174263 0.034846159    0.38   0.13      0.49
21 0.7112109 0.64079587 0.044536517    0.26   0.12      0.62
22 0.3904687 0.08485823 0.047528781    0.43   0.37      0.20
23 0.4924219 0.29178137 0.024219838    0.39   0.21      0.40
24 0.7890625 0.46179171 0.091600148    0.12   0.24      0.64
25 0.7452344 0.52404824 0.057856557    0.19   0.18      0.63
26 0.6855859 0.26436213 0.104877609    0.27   0.33      0.40
27 0.5738672 0.53078169 0.010689950    0.40   0.08      0.52
28 0.6048047 0.49798215 0.028851194    0.30   0.20      0.50
29 0.7337891 0.34109951 0.108725125    0.17   0.33      0.50
30 0.6457422 0.43087494 0.053993138    0.24   0.27      0.49
31 0.6185547 0.39136673 0.049126462    0.24   0.26      0.50
32 0.6687500 0.43237782 0.058283367    0.23   0.24      0.53
33 0.4952344 0.20924760 0.059540882    0.29   0.42      0.29
34 0.5667578 0.58642881 0.025576026    0.34   0.16      0.50
35 0.7313672 0.68131394 0.016213363    0.26   0.04      0.70
36 0.7072266 0.46832363 0.076840183    0.16   0.28      0.56
37 0.6085938 0.34144702 0.051639220    0.26   0.31      0.43
38 0.6649219 0.47099147 0.046884465    0.22   0.20      0.58
39 0.7067187 0.22297832 0.108221123    0.18   0.40      0.42
40 0.7054297 0.36115431 0.105316828    0.15   0.33      0.52
41 0.4348047 0.14041587 0.055915530    0.35   0.43      0.22
42 0.4958203 0.45917175 0.004048263    0.51   0.01      0.48
43 0.5235156 0.00743478 0.089411671    0.34   0.45      0.21
44 0.5632812 0.48369679 0.038156378    0.34   0.22      0.44
45 0.6026563 0.26730053 0.072894458    0.23   0.34      0.43
46 0.7295312 0.74178817 0.024986708    0.23   0.08      0.69
47 0.6841406 0.67965272 0.029278790    0.23   0.17      0.60
48 0.4392969 0.29490816 0.011301244    0.48   0.10      0.42
49 0.3566406 0.15829447 0.032664699    0.56   0.25      0.19
50 0.6227734 0.54680503 0.021098949    0.32   0.10      0.58
