     prob.meio    prob.mito euploid mosaic aneuploid
1  0.244194012 0.0522473021    0.32   0.33      0.35
2  0.149508460 0.1370118272    0.13   0.40      0.47
3  0.504103527 0.0275372285    0.38   0.16      0.46
4  0.299115499 0.0537532999    0.34   0.26      0.40
5  0.058734915 0.1236653600    0.13   0.46      0.41
6  0.206282574 0.1251888543    0.12   0.41      0.47
7  0.113313803 0.1449535717    0.06   0.45      0.49
8  0.057427961 0.1298016894    0.07   0.53      0.40
9  0.369818913 0.0563888627    0.27   0.25      0.48
10 0.018910699 0.1776088872    0.07   0.42      0.51
11 0.437386983 0.1105436101    0.16   0.33      0.51
12 0.244989071 0.1487468267    0.06   0.46      0.48
13 0.137452189 0.1083992084    0.11   0.49      0.40
14 0.090601555 0.1043082208    0.18   0.41      0.41
15 0.028391041 0.1281101380    0.15   0.48      0.37
16 0.010010986 0.1193531791    0.10   0.52      0.38
17 0.011525347 0.1857462102    0.06   0.49      0.45
18 0.021842198 0.1115859859    0.17   0.49      0.34
19 0.206010577 0.1400744712    0.05   0.53      0.42
20 0.114184098 0.2002059417    0.04   0.45      0.51
21 0.353173696 0.0800327528    0.22   0.31      0.47
22 0.443027307 0.0003126047    0.53   0.00      0.47
23 0.415821363 0.0142801674    0.48   0.12      0.40
24 0.279392130 0.0837231772    0.15   0.34      0.51
25 0.144570636 0.1147019602    0.22   0.44      0.34
26 0.127846125 0.1964600692    0.04   0.46      0.50
27 0.460085120 0.0309800752    0.38   0.13      0.49
28 0.005058524 0.1775764085    0.04   0.56      0.40
29 0.121327610 0.0573713507    0.34   0.31      0.35
30 0.177486974 0.1637511244    0.02   0.51      0.47
31 0.118582391 0.1189798815    0.16   0.44      0.40
32 0.329391219 0.1157220611    0.22   0.28      0.50
33 0.085282431 0.1329244936    0.07   0.49      0.44
34 0.192961012 0.1178438426    0.15   0.40      0.45
35 0.208286360 0.1159534564    0.13   0.36      0.51
36 0.007274618 0.1787046057    0.02   0.53      0.45
37 0.216798060 0.0761323273    0.22   0.44      0.34
38 0.199888740 0.1375694487    0.13   0.45      0.42
39 0.117460178 0.1021118998    0.24   0.42      0.34
40 0.114359448 0.1619977457    0.05   0.45      0.50
41 0.518110599 0.0661903806    0.26   0.23      0.51
42 0.057025952 0.1574999015    0.05   0.47      0.48
43 0.277053945 0.0232615704    0.49   0.16      0.35
44 0.092036521 0.1180508786    0.08   0.48      0.44
45 0.300553683 0.0049970546    0.61   0.04      0.35
46 0.286482341 0.1175124340    0.17   0.42      0.41
47 0.099455975 0.1435011714    0.13   0.45      0.42
48 0.530004819 0.0200301078    0.31   0.17      0.52
49 0.257958367 0.0159598389    0.53   0.12      0.35
50 0.158579336 0.1621638872    0.05   0.47      0.48
