    prob.meio   prob.mito euploid mosaic aneuploid
1  0.31698124 0.020023629    0.47   0.18      0.35
2  0.36868042 0.182199258    0.04   0.40      0.56
3  0.05092659 0.212951448    0.02   0.36      0.62
4  0.23459811 0.117387773    0.06   0.45      0.49
5  0.04306907 0.124212782    0.14   0.44      0.42
6  0.32985519 0.009742189    0.49   0.14      0.37
7  0.69313216 0.062986941    0.14   0.17      0.69
8  0.49556651 0.145173935    0.06   0.27      0.67
9  0.36667590 0.020698543    0.45   0.14      0.41
10 0.20240334 0.030334006    0.57   0.15      0.28
