   prop.aneu  prob.meio  prob.mito euploid mosaic aneuploid
1  0.6744531 0.18679655 0.10352803    0.13   0.45      0.42
2  0.5897266 0.28467924 0.06016139    0.32   0.24      0.44
3  0.7258984 0.17406782 0.13320558    0.12   0.45      0.43
4  0.7443359 0.04514228 0.15036791    0.08   0.48      0.44
5  0.6930078 0.24974820 0.09839569    0.11   0.45      0.44
6  0.5553125 0.38308669 0.03694402    0.43   0.13      0.44
7  0.6271484 0.37659795 0.07377902    0.25   0.31      0.44
8  0.5533203 0.32875492 0.04673862    0.32   0.25      0.43
9  0.4862891 0.40039672 0.02025098    0.44   0.12      0.44
10 0.6200000 0.33280814 0.06306257    0.29   0.27      0.44
