   prop.aneu   prob.meio    prob.mito euploid mosaic aneuploid
1  0.4171094 0.437112197 0.0069672670    0.49   0.11      0.40
2  0.6894922 0.366919761 0.0807784107    0.21   0.27      0.52
3  0.5739844 0.274883678 0.0610966985    0.29   0.35      0.36
4  0.7057031 0.159111739 0.1249569000    0.09   0.44      0.47
5  0.6070703 0.197019225 0.0919146014    0.20   0.41      0.39
6  0.7150391 0.336382963 0.1010216493    0.10   0.37      0.53
7  0.7431250 0.042322912 0.1538546509    0.08   0.53      0.39
8  0.5588281 0.318992514 0.0726976253    0.29   0.35      0.36
9  0.6967578 0.271689946 0.0997483877    0.14   0.37      0.49
10 0.7282031 0.413901170 0.0968947939    0.13   0.34      0.53
11 0.6928125 0.190216196 0.1120609739    0.09   0.44      0.47
12 0.6570312 0.043260142 0.1201034265    0.12   0.48      0.40
13 0.6784766 0.070091718 0.1283046852    0.15   0.37      0.48
14 0.6749609 0.420215772 0.0659025405    0.18   0.30      0.52
15 0.6721484 0.026015930 0.1311247477    0.12   0.53      0.35
16 0.6637500 0.193259149 0.1122813625    0.09   0.50      0.41
17 0.7626563 0.386215701 0.0893069955    0.10   0.36      0.54
18 0.7180078 0.159903482 0.1298204628    0.10   0.44      0.46
19 0.5604297 0.233844690 0.0607316277    0.35   0.27      0.38
20 0.6835547 0.425555269 0.0929697773    0.12   0.41      0.47
21 0.6658203 0.304237758 0.0778590157    0.22   0.35      0.43
22 0.4573828 0.421469000 0.0024940413    0.55   0.00      0.45
23 0.8026562 0.077585816 0.1676029002    0.07   0.46      0.47
24 0.7118750 0.238493524 0.1145839971    0.09   0.45      0.46
25 0.6682031 0.108462552 0.1185042425    0.17   0.46      0.37
26 0.5392578 0.358248713 0.0458544029    0.33   0.25      0.42
27 0.5831250 0.471484345 0.0353033883    0.38   0.13      0.49
28 0.8021094 0.008469756 0.1755162547    0.02   0.50      0.48
29 0.3732422 0.367218272 0.0006434396    0.61   0.02      0.37
30 0.6082422 0.212982051 0.0854176993    0.26   0.35      0.39
31 0.8190625 0.139725149 0.1887069233    0.04   0.46      0.50
32 0.5415234 0.293341604 0.0612250124    0.25   0.35      0.40
33 0.6939844 0.487850584 0.0810738357    0.14   0.33      0.53
34 0.7978516 0.429345349 0.1337665154    0.10   0.36      0.54
35 0.7405469 0.060406991 0.1507733914    0.12   0.50      0.38
36 0.7271484 0.225670372 0.1165844635    0.13   0.39      0.48
37 0.7983594 0.107639152 0.1712771019    0.05   0.49      0.46
38 0.7364844 0.438936692 0.1067179893    0.15   0.31      0.54
39 0.4619531 0.315533590 0.0336160446    0.40   0.26      0.34
40 0.5668750 0.318223253 0.0592922675    0.33   0.27      0.40
41 0.6533203 0.465229908 0.0564404938    0.24   0.25      0.51
42 0.7647656 0.046983677 0.1648650123    0.09   0.42      0.49
43 0.5142187 0.229709611 0.0523210363    0.35   0.33      0.32
44 0.6899219 0.199415492 0.1143813962    0.10   0.48      0.42
45 0.5215625 0.164269670 0.0635641008    0.30   0.36      0.34
46 0.6826172 0.204277139 0.1073598682    0.10   0.44      0.46
47 0.5816406 0.193799759 0.0791002463    0.16   0.51      0.33
48 0.6923438 0.206605502 0.1206383042    0.15   0.45      0.40
49 0.5330469 0.440423577 0.0230535849    0.41   0.14      0.45
50 0.6732813 0.192613887 0.1124567515    0.11   0.44      0.45
