   prop.aneu prob.meio  prob.mito euploid mosaic aneuploid
1  0.7325391 0.1913185 0.13271561    0.08   0.49      0.43
2  0.6932031 0.2121600 0.08661726    0.11   0.48      0.41
3  0.6404688 0.2831177 0.08773726    0.26   0.30      0.44
4  0.5103125 0.3825992 0.02102752    0.41   0.15      0.44
5  0.6582813 0.2366846 0.09841214    0.18   0.39      0.43
6  0.6229297 0.3338992 0.06358190    0.31   0.26      0.43
7  0.5482813 0.3484164 0.04144789    0.37   0.21      0.42
8  0.5592578 0.2827823 0.05220868    0.30   0.28      0.42
9  0.6183594 0.2930288 0.05819005    0.30   0.25      0.45
10 0.6418750 0.3958536 0.07133649    0.27   0.28      0.45
