   prop.aneu prob.meio   prob.mito euploid mosaic aneuploid
1  0.7210937 0.4603588 0.088647546    0.21   0.26      0.53
2  0.7606641 0.3564330 0.095356940    0.14   0.29      0.57
3  0.6905859 0.5460553 0.054388786    0.20   0.22      0.58
4  0.5829688 0.4095284 0.018281941    0.39   0.07      0.54
5  0.6994141 0.3092623 0.101319158    0.17   0.39      0.44
6  0.7510547 0.4824864 0.101807043    0.16   0.32      0.52
7  0.3575391 0.2251860 0.014442849    0.57   0.14      0.29
8  0.6027734 0.3255830 0.067209150    0.33   0.24      0.43
9  0.6460938 0.3482863 0.062962825    0.32   0.24      0.44
10 0.4477344 0.1589817 0.056107570    0.43   0.29      0.28
11 0.7387109 0.4543361 0.076272121    0.15   0.24      0.61
12 0.6482422 0.4985820 0.052529508    0.21   0.28      0.51
13 0.7166016 0.3799670 0.088235002    0.13   0.31      0.56
14 0.8052734 0.3779122 0.110270265    0.07   0.34      0.59
15 0.7958203 0.4695821 0.111230591    0.08   0.31      0.61
16 0.4771094 0.5521681 0.002306956    0.49   0.04      0.47
17 0.5119141 0.2605366 0.053517253    0.40   0.28      0.32
18 0.4556250 0.2406042 0.029544940    0.45   0.21      0.34
19 0.5016406 0.2955286 0.048962511    0.34   0.33      0.33
20 0.5991797 0.3105633 0.066466139    0.26   0.28      0.46
21 0.6483203 0.3848050 0.066356414    0.23   0.28      0.49
22 0.6046094 0.3239521 0.064473853    0.27   0.33      0.40
23 0.7357422 0.3792955 0.102745870    0.14   0.34      0.52
24 0.5837109 0.6160070 0.020577090    0.32   0.16      0.52
25 0.7908594 0.4659753 0.114324281    0.11   0.27      0.62
26 0.5110938 0.3393468 0.025450499    0.37   0.23      0.40
27 0.7734375 0.3421198 0.101244476    0.10   0.27      0.63
28 0.6239062 0.5900643 0.010737297    0.35   0.06      0.59
29 0.5829297 0.5526682 0.013726972    0.33   0.13      0.54
30 0.4394922 0.4153787 0.017950270    0.41   0.22      0.37
31 0.6992969 0.4857562 0.095640961    0.16   0.36      0.48
32 0.6504297 0.5975546 0.028280890    0.27   0.14      0.59
33 0.8007031 0.4776437 0.113532655    0.08   0.31      0.61
34 0.6596484 0.3852549 0.061175564    0.22   0.27      0.51
35 0.7472266 0.3509489 0.116381136    0.14   0.37      0.49
36 0.3639844 0.2714304 0.019805454    0.54   0.16      0.30
37 0.7575000 0.6260442 0.072094630    0.16   0.22      0.62
38 0.5504297 0.2111798 0.061596479    0.35   0.30      0.35
39 0.6164844 0.2924675 0.071276846    0.29   0.30      0.41
40 0.7717188 0.5473770 0.088778113    0.13   0.25      0.62
41 0.8215234 0.5306127 0.110300779    0.11   0.26      0.63
42 0.7374609 0.5692815 0.069599113    0.17   0.21      0.62
43 0.7566016 0.2702960 0.127438289    0.09   0.39      0.52
44 0.6845703 0.5473668 0.055993916    0.26   0.16      0.58
45 0.6758203 0.2844954 0.088807983    0.16   0.28      0.56
46 0.6193359 0.4579547 0.044503399    0.30   0.20      0.50
47 0.6097266 0.4830244 0.043044979    0.23   0.23      0.54
48 0.4242187 0.4220872 0.005528135    0.51   0.08      0.41
49 0.6466406 0.4686098 0.057087199    0.23   0.23      0.54
50 0.7378516 0.4846260 0.081434074    0.19   0.23      0.58
