   prop.aneu   prob.meio  prob.mito euploid mosaic aneuploid
1  0.7262500 0.458709862 0.09646353    0.19   0.31      0.50
2  0.6749609 0.449669767 0.05623924    0.19   0.28      0.53
3  0.8199219 0.014129138 0.19662267    0.06   0.41      0.53
4  0.6660156 0.182410526 0.10260887    0.17   0.33      0.50
5  0.8050781 0.074709335 0.17541558    0.03   0.52      0.45
6  0.6414062 0.178897339 0.10938019    0.18   0.43      0.39
7  0.5261328 0.317830673 0.04835365    0.32   0.31      0.37
8  0.5239453 0.312382316 0.04433130    0.37   0.23      0.40
9  0.7605859 0.114745786 0.15588918    0.07   0.46      0.47
10 0.6980859 0.080513792 0.11508222    0.15   0.44      0.41
11 0.7663672 0.255415060 0.13730643    0.06   0.42      0.52
12 0.7625781 0.078629114 0.16032436    0.02   0.58      0.40
13 0.7719922 0.067610596 0.15374282    0.13   0.39      0.48
14 0.6898047 0.350680944 0.09426438    0.09   0.43      0.48
15 0.6017187 0.338186221 0.05862668    0.24   0.32      0.44
16 0.5496875 0.570580126 0.01317539    0.40   0.06      0.54
17 0.6120313 0.368065005 0.07704172    0.23   0.33      0.44
18 0.7857031 0.111155209 0.18306886    0.06   0.43      0.51
19 0.6194531 0.229199929 0.07432642    0.23   0.39      0.38
20 0.7029688 0.050799776 0.13613496    0.11   0.45      0.44
21 0.8199609 0.285027665 0.17685017    0.04   0.42      0.54
22 0.5833203 0.360161629 0.04242859    0.35   0.21      0.44
23 0.6994141 0.054827575 0.14115459    0.14   0.50      0.36
24 0.6613672 0.069839707 0.11452304    0.15   0.54      0.31
25 0.8430859 0.090806061 0.20229029    0.03   0.46      0.51
26 0.6524609 0.385379628 0.07978266    0.19   0.32      0.49
27 0.7503516 0.129973829 0.14207817    0.09   0.41      0.50
28 0.7915625 0.039568723 0.16979584    0.09   0.47      0.44
29 0.5289453 0.372750033 0.02857097    0.32   0.23      0.45
30 0.7577344 0.267916747 0.12776506    0.11   0.41      0.48
31 0.7824219 0.090241218 0.15587624    0.07   0.48      0.45
32 0.7651562 0.131140229 0.14632887    0.08   0.40      0.52
33 0.7475391 0.019794652 0.16070475    0.09   0.51      0.40
34 0.5420703 0.501894766 0.02767625    0.40   0.14      0.46
35 0.6995313 0.202237668 0.10349103    0.12   0.40      0.48
36 0.7685156 0.047570727 0.16030101    0.08   0.51      0.41
37 0.5769141 0.198974926 0.07166950    0.18   0.45      0.37
38 0.7761328 0.172137631 0.15302887    0.09   0.41      0.50
39 0.8452344 0.007698988 0.20358185    0.04   0.44      0.52
40 0.6564062 0.512561160 0.06552106    0.22   0.31      0.47
41 0.8801953 0.013100112 0.23555987    0.00   0.51      0.49
42 0.6160937 0.157081239 0.10132415    0.27   0.36      0.37
43 0.6303906 0.329933052 0.06581917    0.29   0.28      0.43
44 0.7566016 0.315525349 0.13112551    0.08   0.39      0.53
45 0.7265234 0.239788430 0.11539395    0.13   0.36      0.51
46 0.5423828 0.548494698 0.00125230    0.45   0.01      0.54
47 0.6733984 0.453810782 0.06001626    0.24   0.22      0.54
48 0.8164844 0.007684110 0.18242712    0.05   0.50      0.45
49 0.8096484 0.043108527 0.18469092    0.02   0.48      0.50
50 0.6303516 0.010430935 0.11234049    0.15   0.54      0.31
