    prob.meio    prob.mito euploid mosaic aneuploid
1  0.07995573 0.1684503488    0.02   0.51      0.47
2  0.31810265 0.0368902064    0.34   0.24      0.42
3  0.13254440 0.1612620822    0.06   0.45      0.49
4  0.02207282 0.0977487885    0.25   0.45      0.30
5  0.15076165 0.1321401389    0.09   0.49      0.42
6  0.02163841 0.1255346669    0.16   0.49      0.35
7  0.33830388 0.0079342688    0.56   0.12      0.32
8  0.27696171 0.1187101570    0.15   0.30      0.55
9  0.45097368 0.0428150478    0.29   0.22      0.49
10 0.17081926 0.1786332559    0.04   0.41      0.55
11 0.16847818 0.0938910607    0.17   0.48      0.35
12 0.33855873 0.0835497063    0.21   0.37      0.42
13 0.02489312 0.1144161869    0.13   0.56      0.31
14 0.55843671 0.0010486792    0.42   0.02      0.56
15 0.20314175 0.1738969167    0.09   0.38      0.53
16 0.12943170 0.0926523060    0.20   0.50      0.30
17 0.07290971 0.1111323214    0.17   0.49      0.34
18 0.53502827 0.0421009848    0.26   0.19      0.55
19 0.37723433 0.0182602054    0.50   0.17      0.33
20 0.18147186 0.0632718417    0.40   0.28      0.32
21 0.42046783 0.0196006452    0.42   0.15      0.43
22 0.20919476 0.1417205182    0.05   0.46      0.49
23 0.48070569 0.0985211991    0.12   0.33      0.55
24 0.06763309 0.1985659034    0.04   0.42      0.54
25 0.39328220 0.0362150548    0.28   0.32      0.40
26 0.38839377 0.0819475723    0.17   0.27      0.56
27 0.33712227 0.0089518398    0.58   0.09      0.33
28 0.01094055 0.1170921829    0.19   0.51      0.30
29 0.26005541 0.0416063564    0.38   0.26      0.36
30 0.17037465 0.1320565538    0.08   0.49      0.43
31 0.47665843 0.0004146709    0.60   0.00      0.40
32 0.46613170 0.0790346800    0.20   0.24      0.56
33 0.05482282 0.1253508315    0.13   0.52      0.35
34 0.02432001 0.1293320134    0.19   0.37      0.44
35 0.46930033 0.0897081587    0.14   0.29      0.57
36 0.61216207 0.0321867177    0.30   0.15      0.55
37 0.28963120 0.0798216949    0.23   0.32      0.45
38 0.50317989 0.0296086003    0.33   0.16      0.51
39 0.31981298 0.0937741247    0.21   0.43      0.36
40 0.48947100 0.0274729992    0.37   0.14      0.49
41 0.37144443 0.0375733140    0.31   0.25      0.44
42 0.25696718 0.0850924333    0.20   0.30      0.50
43 0.25346435 0.1480869961    0.09   0.45      0.46
44 0.12462293 0.0997454710    0.25   0.44      0.31
45 0.15136354 0.1465638021    0.10   0.37      0.53
46 0.31055100 0.0429678371    0.38   0.22      0.40
47 0.08322491 0.2007888949    0.02   0.45      0.53
48 0.30975656 0.1402709545    0.06   0.37      0.57
49 0.38758764 0.1469834340    0.06   0.39      0.55
50 0.22468792 0.1655822343    0.05   0.41      0.54
