   prop.aneu  prob.meio  prob.mito euploid mosaic aneuploid
1  0.5464062 0.40286830 0.03094298    0.40   0.17      0.43
2  0.7039844 0.27161049 0.10102804    0.14   0.41      0.45
3  0.8406250 0.07808659 0.19600972    0.03   0.52      0.45
4  0.4983984 0.46236911 0.01492573    0.49   0.07      0.44
5  0.7898828 0.16062524 0.15023452    0.06   0.49      0.45
6  0.6481641 0.34565740 0.08358132    0.24   0.35      0.41
7  0.6789453 0.09801174 0.12668490    0.18   0.42      0.40
8  0.4352344 0.40321079 0.01176004    0.47   0.13      0.40
9  0.7750781 0.23256180 0.13865713    0.05   0.51      0.44
10 0.6698047 0.19112109 0.09494758    0.16   0.41      0.43
