   prop.aneu prob.meio  prob.mito euploid mosaic aneuploid
1  0.6227344 0.4874539 0.03208768    0.28   0.19      0.53
2  0.5027734 0.3115640 0.03792291    0.37   0.25      0.38
3  0.5308594 0.3555677 0.03585835    0.36   0.21      0.43
4  0.5570312 0.1577506 0.06393263    0.30   0.29      0.41
5  0.6298828 0.5507244 0.03516564    0.32   0.14      0.54
6  0.5459766 0.3255533 0.03871950    0.38   0.21      0.41
7  0.5526953 0.3915457 0.01138253    0.41   0.08      0.51
8  0.5877734 0.4471374 0.03711209    0.34   0.17      0.49
9  0.4748438 0.4096542 0.01220121    0.49   0.10      0.41
10 0.6258984 0.3807480 0.04429503    0.26   0.26      0.48
