   prop.aneu prob.meio   prob.mito euploid mosaic aneuploid
1  0.6943359 0.5245062 0.056329071    0.28   0.16      0.56
2  0.6079297 0.4931670 0.034921527    0.33   0.16      0.51
3  0.4507031 0.3048391 0.029510946    0.41   0.22      0.37
4  0.5159766 0.4576344 0.009623272    0.43   0.08      0.49
5  0.5275781 0.4352403 0.019884953    0.44   0.10      0.46
6  0.5462891 0.3523720 0.037049440    0.31   0.27      0.42
7  0.5646875 0.3820278 0.052156668    0.34   0.27      0.39
8  0.6277344 0.5788568 0.049344457    0.31   0.19      0.50
9  0.6217187 0.3996571 0.029213231    0.26   0.21      0.53
10 0.6022656 0.4438977 0.040861104    0.34   0.17      0.49
