   prop.aneu  prob.meio   prob.mito  dispersal euploid mosaic aneuploid
1  0.6778125 0.43797987 0.072301743 0.40857065    0.07   0.49      0.44
2  0.8168359 0.01166448 0.182293506 0.39379702    0.00   0.57      0.43
3  0.5404688 0.42752746 0.031139666 0.95948078    0.18   0.41      0.41
4  0.7461328 0.17440382 0.149163952 0.09602164    0.03   0.55      0.42
5  0.7157422 0.47795483 0.089297474 0.35164748    0.03   0.54      0.43
6  0.4410156 0.37650779 0.004972752 0.18454989    0.48   0.10      0.42
7  0.7839063 0.30528738 0.137221350 0.52097333    0.00   0.56      0.44
8  0.7963281 0.14002969 0.158564944 0.36023878    0.00   0.58      0.42
9  0.7711328 0.21302259 0.141071023 0.45707795    0.01   0.57      0.42
10 0.5432422 0.50620714 0.025887517 0.86744669    0.20   0.38      0.42
