   prop.aneu  prob.meio    prob.mito   dispersal euploid mosaic aneuploid
1  0.5664453 0.34928031 0.0361023173 0.488261514    0.17   0.40      0.43
2  0.6231641 0.39004108 0.0449709902 0.901954141    0.07   0.49      0.44
3  0.8048047 0.07478667 0.1714321193 0.343422489    0.00   0.58      0.42
4  0.5356250 0.40209379 0.0265356449 0.561180219    0.20   0.38      0.42
5  0.4361719 0.47968585 0.0004046615 0.980540948    0.55   0.02      0.43
6  0.8348437 0.04886705 0.1991035494 0.471161506    0.00   0.57      0.43
7  0.5048047 0.40713100 0.0254669485 0.054007588    0.40   0.19      0.41
8  0.5248828 0.38695495 0.0225942957 0.981339677    0.26   0.31      0.43
9  0.6584766 0.36090357 0.0675420817 0.369991150    0.04   0.52      0.44
10 0.6914062 0.11409714 0.1250546507 0.001156572    0.08   0.48      0.44
