      prop.aneu   prob.meio    prob.mito    dispersal euploid mosaic aneuploid
1    0.99980469 0.269589017 0.6066795464 0.9796601224    0.00   0.00      1.00
2    0.99941406 0.982956873 0.3408495530 0.0728406953    0.00   0.00      1.00
3    0.99742188 0.132219543 0.5359046576 0.1107861754    0.00   0.01      0.99
4    1.00000000 0.372046191 0.7268198242 0.6396327801    0.00   0.00      1.00
5    0.97167969 0.351761203 0.3222099589 0.2203336891    0.00   0.11      0.89
6    0.73152344 0.560072741 0.0545493467 0.2379531201    0.09   0.33      0.58
7    0.99832031 0.794996820 0.4050433750 0.8838553566    0.00   0.02      0.98
8    1.00000000 0.948274403 0.7597113154 0.0598988172    0.00   0.00      1.00
9    0.52324219 0.272721280 0.0608658798 0.8084711272    0.06   0.70      0.24
10   1.00000000 0.431441367 0.9272054613 0.2032749881    0.00   0.00      1.00
11   0.98378906 0.871838455 0.2386670853 0.5715844233    0.00   0.07      0.93
12   0.99640625 0.327790087 0.4591834326 0.4563829473    0.00   0.02      0.98
13   0.65906250 0.410788972 0.0667108023 0.6698971833    0.07   0.48      0.45
14   0.99808594 0.906317436 0.3962433031 0.7539741439    0.00   0.01      0.99
15   0.65328125 0.300422124 0.0884449631 0.5526286601    0.01   0.63      0.36
16   1.00000000 0.985589022 0.9584150629 0.2809845265    0.00   0.00      1.00
17   1.00000000 0.983920513 0.6007960504 0.6173031956    0.00   0.00      1.00
18   0.66242188 0.309408829 0.0870360229 0.8366689386    0.01   0.63      0.36
19   0.99996094 0.937442989 0.4821227863 0.7927032872    0.00   0.00      1.00
20   1.00000000 0.381117503 0.8802621700 0.2817957359    0.00   0.00      1.00
21   0.99527344 0.907461522 0.2724165954 0.2929195135    0.00   0.00      1.00
22   0.97625000 0.876206678 0.1606450039 0.4246620326    0.00   0.09      0.91
23   0.62644531 0.505160994 0.0585754546 0.3822261894    0.10   0.49      0.41
24   1.00000000 0.403772254 0.9908984785 0.6291661605    0.00   0.00      1.00
25   0.65171875 0.499558629 0.0502101930 0.4182060296    0.11   0.39      0.50
26   0.99968750 0.666115040 0.6169097980 0.3485089676    0.00   0.00      1.00
27   0.98800781 0.251608895 0.4001191219 0.8675793875    0.00   0.04      0.96
28   1.00000000 0.899614968 0.6205614584 0.3999653033    0.00   0.00      1.00
29   1.00000000 0.439151863 0.9720975948 0.3760337110    0.00   0.00      1.00
30   0.61667969 0.187663137 0.0803571180 0.2062428982    0.09   0.59      0.32
31   0.77363281 0.686221353 0.0487435358 0.8125042375    0.03   0.29      0.68
32   0.99992187 0.601545909 0.6414517509 0.5906479931    0.00   0.00      1.00
33   0.58570312 0.548933030 0.0290794997 0.5689360364    0.23   0.30      0.47
34   0.99980469 0.213081614 0.6864665123 0.1453545734    0.00   0.00      1.00
35   0.99929687 0.065962766 0.6001482299 0.5483610304    0.00   0.00      1.00
36   0.98777344 0.267853824 0.3720579869 0.1964158341    0.00   0.06      0.94
37   0.99828125 0.011377474 0.5516506976 0.5739096401    0.00   0.04      0.96
38   0.43234375 0.351130166 0.0011191301 0.4546956492    0.54   0.03      0.43
39   0.90246094 0.749862198 0.1296631161 0.7520994006    0.00   0.25      0.75
40   1.00000000 0.254918575 0.8115875935 0.3183901424    0.00   0.00      1.00
41   0.99949219 0.683167771 0.5795339076 0.9856667900    0.00   0.01      0.99
42   1.00000000 0.833581604 0.8988756002 0.6862532198    0.00   0.00      1.00
43   0.27832031 0.222523662 0.0017601768 0.8567065052    0.67   0.06      0.27
