      prop.aneu    prob.meio   prob.mito    dispersal euploid mosaic aneuploid
1    1.00000000 0.4277378870 0.911884435 0.5819363946    0.00   0.00      1.00
2    0.99613281 0.5000211739 0.451422376 0.7053481436    0.00   0.03      0.97
3    0.99980469 0.7051458640 0.697551458 0.8589387012    0.00   0.00      1.00
4    1.00000000 0.6674197102 0.634891056 0.3663185250    0.00   0.00      1.00
5    1.00000000 0.6619277969 0.746958901 0.7289532896    0.00   0.00      1.00
6    0.75597656 0.4403713688 0.116088071 0.6800756212    0.00   0.57      0.43
7    0.56742187 0.1210127752 0.090919499 0.3178631263    0.07   0.75      0.18
8    0.99929687 0.1369435890 0.577952384 0.7456778649    0.00   0.00      1.00
9    0.95660156 0.8606681663 0.148708285 0.6637481856    0.00   0.10      0.90
10   1.00000000 0.2096126073 0.835477889 0.9284435248    0.00   0.00      1.00
11   0.99996094 0.3240360566 0.678214955 0.9090524779    0.00   0.00      1.00
12   1.00000000 0.2950841298 0.943290024 0.4157399205    0.00   0.00      1.00
13   0.99625000 0.4913196845 0.461048902 0.3209208238    0.00   0.02      0.98
14   1.00000000 0.2021444782 0.839900413 0.4624298972    0.00   0.00      1.00
15   0.99992187 0.9337809302 0.603100092 0.3916987544    0.00   0.00      1.00
16   1.00000000 0.2446187257 0.920896172 0.3045393978    0.00   0.00      1.00
17   1.00000000 0.5832465601 0.722280043 0.4152171933    0.00   0.00      1.00
18   1.00000000 0.7413926206 0.992407492 0.4436103555    0.00   0.00      1.00
19   0.99972656 0.7218026652 0.608938596 0.2304502444    0.00   0.00      1.00
20   1.00000000 0.8863756077 0.804155844 0.1282810061    0.00   0.00      1.00
21   1.00000000 0.7439920567 0.757419037 0.0291367548    0.00   0.00      1.00
22   0.80316406 0.1690268018 0.159471755 0.3710300361    0.00   0.55      0.45
23   0.99996094 0.6002813783 0.633207072 0.7906154401    0.00   0.00      1.00
24   0.82843750 0.4558115404 0.157515243 0.6183415246    0.01   0.47      0.52
25   1.00000000 0.6330125809 0.834166142 0.3624930808    0.00   0.00      1.00
26   0.99339844 0.9015822150 0.299355156 0.6094396273    0.00   0.03      0.97
27   0.99996094 0.7024061626 0.599854828 0.8745523745    0.00   0.00      1.00
28   0.99476562 0.8806145580 0.353477344 0.4100061879    0.00   0.02      0.98
29   0.95273438 0.7529873331 0.201262412 0.4870078585    0.00   0.14      0.86
30   0.77125000 0.2884438762 0.137504093 0.8492974299    0.00   0.54      0.46
31   0.88191406 0.7938117278 0.095473360 0.2662259806    0.00   0.26      0.74
32   0.99945313 0.4792964743 0.576631099 0.8540422856    0.00   0.01      0.99
33   0.79988281 0.7001686119 0.043949809 0.1544685098    0.11   0.18      0.71
34   0.99378906 0.3361706242 0.458704752 0.4883817236    0.00   0.05      0.95
35   0.99503906 0.5802300819 0.410130782 0.3418727394    0.00   0.02      0.98
36   0.11347656 0.0345559986 0.005373455 0.2416203662    0.77   0.16      0.07
37   0.85386719 0.0443750462 0.221611234 0.0289220340    0.01   0.38      0.61
38   1.00000000 0.2951082361 0.940509612 0.7943405532    0.00   0.00      1.00
39   0.99667969 0.8435148969 0.418403991 0.4870913236    0.00   0.01      0.99
40   0.92082031 0.8714147198 0.124602892 0.2984443412    0.00   0.17      0.83
41   1.00000000 0.1738093940 0.881764357 0.6100582839    0.00   0.00      1.00
42   0.91761719 0.6893550544 0.146164204 0.0101947812    0.00   0.14      0.86
43   1.00000000 0.3503705307 0.855557633 0.0331761262    0.00   0.00      1.00
44   0.98281250 0.0215988404 0.392194555 0.8157788888    0.00   0.11      0.89
45   1.00000000 0.7537863203 0.717693798 0.1949819028    0.00   0.00      1.00
46   0.95699219 0.3788100751 0.268041928 0.4453107785    0.00   0.12      0.88
47   0.94445313 0.8433521120 0.097362238 0.4190837934    0.00   0.13      0.87
48   0.69214844 0.4831177883 0.044074841 0.9639431380    0.04   0.39      0.57
49   0.99976562 0.4880044423 0.581060714 0.6453906514    0.00   0.00      1.00
50   1.00000000 0.9951059606 0.782762271 0.4383081445    0.00   0.00      1.00
51   1.00000000 0.9529334414 0.807655071 0.2550882720    0.00   0.00      1.00
52   0.99988281 0.5073646568 0.646849389 0.5466392366    0.00   0.00      1.00
53   0.96460937 0.4101135973 0.287840139 0.2615955584    0.00   0.13      0.87
54   0.96691406 0.5784648922 0.308703554 0.0122768639    0.00   0.06      0.94
55   0.87468750 0.5071740232 0.168619834 0.2712449161    0.00   0.37      0.63
56   0.95445313 0.8602035416 0.115824552 0.6602476342    0.00   0.12      0.88
57   0.94410156 0.9095097894 0.043339590 0.0711842780    0.03   0.06      0.91
58   1.00000000 0.9767792798 0.545984459 0.7544106883    0.00   0.00      1.00
59   0.99996094 0.9807246495 0.528207493 0.5829776411    0.00   0.00      1.00
60   0.99218750 0.2647766278 0.433046251 0.8900268243    0.00   0.08      0.92
61   1.00000000 0.6224834889 0.703845194 0.7875814268    0.00   0.00      1.00
62   0.99824219 0.8480509312 0.414831516 0.4478308272    0.00   0.00      1.00
63   1.00000000 0.5709469731 0.703661078 0.4265709191    0.00   0.00      1.00
64   0.73429687 0.6704443726 0.025980955 0.5380190359    0.11   0.22      0.67
65   1.00000000 0.8896672039 0.797763230 0.5021416245    0.00   0.00      1.00
66   0.99996094 0.6381969044 0.696987456 0.7661592693    0.00   0.00      1.00
67   0.99273437 0.8173237250 0.290814531 0.5954860586    0.00   0.04      0.96
68   1.00000000 0.0948164975 0.955990092 0.3955089613    0.00   0.00      1.00
69   0.27683594 0.2477796087 0.008870198 0.0126328417    0.61   0.17      0.22
70   0.71785156 0.2347865147 0.127607409 0.5687880658    0.00   0.73      0.27
71   0.98472656 0.7405989422 0.284185971 0.6671347748    0.00   0.07      0.93
72   0.99632813 0.0155864866 0.496570136 0.3978015215    0.00   0.02      0.98
73   1.00000000 0.9348687350 0.996713403 0.2702800722    0.00   0.00      1.00
74   0.98660156 0.8379590705 0.298261984 0.3945298248    0.00   0.05      0.95
75   0.95828125 0.1252177858 0.302254957 0.7761802417    0.00   0.22      0.78
76   0.99984375 0.7179665721 0.613897986 0.6416735235    0.00   0.00      1.00
77   0.97296875 0.0318841720 0.349166328 0.9862891159    0.00   0.11      0.89
78   0.99996094 0.2974106078 0.744310439 0.7836684391    0.00   0.00      1.00
79   1.00000000 0.2144393737 0.984852957 0.1422858476    0.00   0.00      1.00
80   0.90507812 0.0461243086 0.250106235 0.5742149597    0.00   0.38      0.62
81   0.99972656 0.0692358466 0.573367073 0.0305962579    0.00   0.00      1.00
82   1.00000000 0.7211580030 0.745925945 0.2530067286    0.00   0.00      1.00
83   1.00000000 0.8749071681 0.906624161 0.6764527049    0.00   0.00      1.00
84   0.71175781 0.4188813521 0.074241388 0.9033805698    0.02   0.49      0.49
85   0.99074219 0.4753830631 0.381372329 0.7108481294    0.00   0.07      0.93
86   1.00000000 0.9077026292 0.697020422 0.5665824406    0.00   0.00      1.00
