   prop.aneu  prob.meio   prob.mito   dispersal euploid mosaic aneuploid
1  0.4556641 0.45028860 0.009873858 0.452299586    0.46   0.12      0.42
2  0.5927734 0.58259485 0.004900502 0.151191777    0.37   0.05      0.58
3  0.6539453 0.58389418 0.019138436 0.293535164    0.30   0.11      0.59
4  0.5313672 0.34930965 0.024431376 0.055906709    0.33   0.21      0.46
5  0.4228125 0.09687556 0.044821588 0.006909923    0.41   0.35      0.24
6  0.3846484 0.40843107 0.005195650 0.699427994    0.58   0.06      0.36
7  0.4529687 0.33776451 0.027685956 0.333975182    0.36   0.31      0.33
8  0.4953516 0.46537017 0.011901508 0.855321597    0.36   0.20      0.44
9  0.2661328 0.32469944 0.009368338 0.883417760    0.53   0.26      0.21
10 0.3260938 0.19088060 0.025318586 0.188987382    0.48   0.30      0.22
