   prop.aneu prob.meio    prob.mito   dispersal euploid mosaic aneuploid
1  0.6035547 0.5862316 0.0149493576 0.387107986    0.27   0.19      0.54
2  0.4402344 0.2946901 0.0057759921 0.291989151    0.52   0.07      0.41
3  0.4671875 0.3498821 0.0153276431 0.341587137    0.39   0.20      0.41
4  0.5723828 0.6422638 0.0132076265 0.944333613    0.31   0.16      0.53
5  0.4267969 0.2683207 0.0246620364 0.314070453    0.38   0.31      0.31
6  0.5837109 0.5088617 0.0284934246 0.127210960    0.25   0.28      0.47
7  0.6707422 0.5738014 0.0240717204 0.994960725    0.16   0.24      0.60
8  0.4157812 0.3599075 0.0184008032 0.580583197    0.39   0.26      0.35
9  0.4214453 0.4691633 0.0005907482 0.717678933    0.57   0.01      0.42
10 0.6851953 0.5095559 0.0608783297 0.001288729    0.25   0.18      0.57
