   prop.aneu   prob.meio  prob.mito dispersal euploid mosaic aneuploid
1  0.7512109 0.292595377 0.12245176 0.2375894    0.01   0.54      0.45
2  0.5200781 0.410848408 0.03401201 0.1927383    0.33   0.27      0.40
3  0.8021484 0.266451046 0.14667094 0.4180726    0.00   0.57      0.43
4  0.6790625 0.389928812 0.07427903 0.9111856    0.03   0.52      0.45
5  0.7935937 0.115747721 0.16428083 0.6828407    0.00   0.60      0.40
6  0.5955078 0.482882962 0.03530038 0.9534151    0.10   0.45      0.45
7  0.6853125 0.373598215 0.08069290 0.3847399    0.02   0.55      0.43
8  0.8259375 0.001703193 0.19627425 0.1360346    0.00   0.54      0.46
9  0.8343359 0.154066912 0.18034154 0.6418112    0.00   0.55      0.45
10 0.7338672 0.367793393 0.10232004 0.6596951    0.01   0.57      0.42
