   prop.aneu prob.meio   prob.mito   dispersal euploid mosaic aneuploid
1  0.4792578 0.3598146 0.019113618 0.650489368    0.26   0.36      0.38
2  0.4816016 0.3378545 0.031452911 0.252418916    0.29   0.37      0.34
3  0.6115234 0.5928167 0.008239663 0.003369094    0.33   0.07      0.60
4  0.5598437 0.6231013 0.005446414 0.678005764    0.39   0.07      0.54
5  0.3699609 0.1864047 0.031808782 0.080104371    0.48   0.28      0.24
6  0.4851563 0.4079574 0.030978950 0.968160375    0.29   0.36      0.35
7  0.5788281 0.4962184 0.034931635 0.428535211    0.21   0.34      0.45
8  0.6953906 0.5045265 0.077586535 0.026359224    0.22   0.26      0.52
9  0.5173828 0.4296168 0.021962936 0.859870205    0.28   0.30      0.42
10 0.4901953 0.3914897 0.002768463 0.908634777    0.47   0.05      0.48
