   prop.aneu prob.meio  prob.mito  dispersal euploid mosaic aneuploid
1  0.5951953 0.5310357 0.02144536 0.02130314    0.29   0.20      0.51
2  0.3564844 0.3248894 0.01554106 0.17291183    0.51   0.21      0.28
3  0.4380859 0.3828723 0.02226843 0.25616467    0.49   0.17      0.34
4  0.4998047 0.2879486 0.03199442 0.05301589    0.32   0.32      0.36
5  0.6272266 0.5010711 0.02671261 0.31099511    0.26   0.19      0.55
6  0.6270313 0.5957326 0.01729151 0.26087648    0.28   0.14      0.58
7  0.6447266 0.5862363 0.01602504 0.96500663    0.16   0.26      0.58
8  0.5773047 0.5611972 0.01568206 0.19104289    0.34   0.13      0.53
9  0.5642969 0.6176261 0.02973160 0.23904305    0.27   0.27      0.46
10 0.5614453 0.4917260 0.02982066 0.38883035    0.15   0.38      0.47
