"","embryo","prop.aneu","prob.meio","prob.mito","dispersal","euploid","mosaic","aneuploid"
"1",1,0.5126953,0.4471581,0.01962422,0.266609049,0.39,0.18,0.43
"2",2,0.5072656,0.4551109,0.02382661,0.362199115,0.38,0.2,0.42
"3",3,0.5139063,0.4741591,0.02438735,0.212653473,0.38,0.19,0.43
"4",4,0.5066016,0.4031981,0.02131467,0.141814678,0.39,0.18,0.43
"5",5,0.4859375,0.4266752,0.02281931,0.057042802,0.39,0.19,0.42
"6",6,0.4999609,0.3968735,0.02127406,0.117387807,0.38,0.2,0.42
"7",7,0.5036328,0.4413095,0.01966262,0.294309952,0.38,0.2,0.42
"8",8,0.5100781,0.4349565,0.024918,0.025582943,0.4,0.18,0.42
"9",9,0.5042969,0.3755117,0.02307052,0.004989367,0.39,0.19,0.42
"10",10,0.5110156,0.3965863,0.02494925,0.17051315,0.4,0.18,0.42
"11",1,0.5157031,0.445221,0.01995065,0.08408297,0.38,0.18,0.44
"12",2,0.5237109,0.507014,0.02234103,0.12662271,0.38,0.18,0.44
"13",3,0.5032813,0.4550415,0.01954779,0.30816684,0.39,0.18,0.43
"14",4,0.5173047,0.4856729,0.02396252,0.13029703,0.4,0.18,0.42
"15",5,0.5122266,0.4070929,0.01942183,0.37667227,0.39,0.18,0.43
"16",6,0.5043359,0.4487311,0.02331055,0.07211794,0.39,0.19,0.42
"17",7,0.5271875,0.397101,0.02495832,0.19400496,0.4,0.18,0.42
"18",8,0.5092188,0.4389297,0.02092223,0.47602618,0.38,0.18,0.44
"19",9,0.5074219,0.386392,0.02354997,0.05434197,0.4,0.18,0.42
"20",10,0.5163672,0.4433378,0.01981123,0.54850285,0.38,0.18,0.44
"21",1,0.5074609,0.4676717,0.01926105,0.21017284,0.38,0.2,0.42
"22",2,0.5247656,0.4728964,0.02476242,0.06965422,0.38,0.19,0.43
"23",3,0.5208203,0.4049114,0.02347737,0.12962038,0.38,0.19,0.43
"24",4,0.5246875,0.4682965,0.02302258,0.13303765,0.38,0.19,0.43
"25",5,0.5117578,0.4174049,0.02424773,0.03249683,0.39,0.19,0.42
"26",6,0.5063281,0.3791165,0.0194362,0.2156597,0.4,0.18,0.42
"27",7,0.5023437,0.3950333,0.02356605,0.3387773,0.38,0.2,0.42
"28",8,0.5232031,0.4826523,0.02429651,0.09169051,0.39,0.18,0.43
"29",9,0.5051172,0.3534453,0.02018145,0.04235893,0.38,0.19,0.43
"30",10,0.5016406,0.4221882,0.02029999,0.02865664,0.39,0.18,0.43
"31",1,0.5199219,0.4709886,0.02357589,0.036917557,0.39,0.19,0.42
"32",2,0.5165234,0.3732005,0.02141803,0.072150643,0.38,0.19,0.43
"33",3,0.4956641,0.4515954,0.02039299,0.075916767,0.39,0.19,0.42
"34",4,0.5185547,0.4260671,0.0213759,0.004315522,0.39,0.18,0.43
"35",5,0.5212891,0.372231,0.02117518,0.195315239,0.39,0.18,0.43
"36",6,0.5083203,0.4849615,0.02203889,0.098417167,0.4,0.18,0.42
"37",7,0.5054688,0.3940323,0.02239479,0.243137155,0.4,0.18,0.42
"38",8,0.5480859,0.4330729,0.02372254,0.063981816,0.38,0.18,0.44
"39",9,0.4993359,0.3851811,0.02082006,0.062647748,0.39,0.18,0.43
"40",10,0.5207031,0.3863906,0.02233952,0.188100605,0.39,0.19,0.42
"41",1,0.5025391,0.3505754,0.01971439,0.16851823,0.4,0.19,0.41
"42",2,0.524375,0.460897,0.02039865,0.14630705,0.4,0.17,0.43
"43",3,0.5278516,0.4550776,0.02076309,0.0825283,0.39,0.17,0.44
"44",4,0.5206641,0.4906911,0.02056836,0.12706464,0.39,0.17,0.44
"45",5,0.5202734,0.4462856,0.02083229,0.22776036,0.39,0.18,0.43
"46",6,0.5162891,0.4069091,0.02227183,0.07212444,0.39,0.18,0.43
"47",7,0.5165234,0.4423715,0.01907186,0.28712335,0.38,0.18,0.44
"48",8,0.495,0.3683241,0.01946775,0.22021471,0.4,0.19,0.41
"49",9,0.5094141,0.4455439,0.02016565,0.37451415,0.38,0.19,0.43
"50",10,0.5008594,0.4460876,0.023219,0.10035361,0.39,0.19,0.42
"51",1,0.5383984,0.4119153,0.02486587,0.07349083,0.38,0.19,0.43
"52",2,0.5052734,0.4678333,0.02160107,0.18181883,0.39,0.19,0.42
"53",3,0.5211328,0.4140393,0.02023763,0.15352115,0.38,0.19,0.43
"54",4,0.5011328,0.372878,0.02314639,0.11848288,0.39,0.18,0.43
"55",5,0.5028516,0.3797495,0.02000428,0.02684008,0.39,0.18,0.43
"56",6,0.5108594,0.4560284,0.02127204,0.11251315,0.39,0.19,0.42
"57",7,0.5154297,0.4167573,0.02477819,0.02087892,0.4,0.18,0.42
"58",8,0.5149219,0.3681159,0.02223177,0.10828127,0.4,0.18,0.42
"59",9,0.4961719,0.4242245,0.0205249,0.09415241,0.4,0.18,0.42
"60",10,0.5164062,0.4239933,0.02218168,0.15828085,0.39,0.18,0.43
"61",1,0.4883984,0.4239951,0.01911882,0.9002850989,0.38,0.2,0.42
"62",2,0.5005859,0.4113645,0.02170528,0.3604392537,0.4,0.18,0.42
"63",3,0.5196875,0.3893851,0.02004987,0.1200835977,0.38,0.19,0.43
"64",4,0.5406641,0.4779525,0.02155553,0.0186000506,0.38,0.19,0.43
"65",5,0.5026953,0.3843296,0.01963597,0.1394111314,0.4,0.18,0.42
"66",6,0.4946484,0.3662553,0.02166428,0.1464784993,0.38,0.2,0.42
"67",7,0.4989453,0.4585142,0.01967256,0.4341734992,0.39,0.19,0.42
"68",8,0.5176953,0.4307475,0.02365046,0.0009404328,0.38,0.2,0.42
"69",9,0.5113672,0.4583145,0.02107756,0.0859015526,0.38,0.18,0.44
"70",10,0.5044141,0.4210719,0.02142337,0.1089365233,0.38,0.19,0.43
"71",1,0.5184375,0.4598003,0.02406572,0.11151757,0.38,0.19,0.43
"72",2,0.5052344,0.4380641,0.02303934,0.04131791,0.4,0.18,0.42
"73",3,0.4973828,0.3934883,0.02410441,0.05209617,0.4,0.19,0.41
"74",4,0.5226953,0.4560646,0.02279054,0.14095598,0.39,0.18,0.43
"75",5,0.5195312,0.4291985,0.02008039,0.11989002,0.4,0.17,0.43
"76",6,0.5054297,0.4343716,0.02070489,0.09772443,0.39,0.17,0.44
"77",7,0.5248438,0.431713,0.02029308,0.46438073,0.38,0.18,0.44
"78",8,0.5008594,0.4027169,0.0232731,0.24121047,0.38,0.19,0.43
"79",9,0.5023828,0.4071487,0.01965895,0.07805655,0.4,0.19,0.41
"80",10,0.5066797,0.4155363,0.020349,0.19180974,0.39,0.18,0.43
