     prop.aneu   prob.meio    prob.mito    dispersal euploid mosaic aneuploid
1    0.9853906 0.986909790 0.1239321351 0.4215204208    0.00   0.03      0.97
2    0.9999219 0.939342521 0.4735478007 0.7810712114    0.00   0.01      0.99
3    0.6679688 0.339882120 0.0848428141 0.9506954136    0.02   0.59      0.39
4    0.9855469 0.940731463 0.0511482661 0.2456811098    0.01   0.01      0.98
5    1.0000000 0.899671444 0.7467541266 0.2243934362    0.00   0.00      1.00
6    0.9994531 0.951573376 0.5120220946 0.5380253415    0.00   0.01      0.99
7    0.9999609 0.128837081 0.6885884076 0.7313658171    0.00   0.00      1.00
8    1.0000000 0.646501095 0.6966366395 0.9866372799    0.00   0.00      1.00
9    0.9706250 0.050369988 0.3402252065 0.1094134420    0.00   0.13      0.87
10   0.9719531 0.563805452 0.3106543063 0.0237518332    0.00   0.14      0.86
11   0.8589062 0.130408520 0.2052574276 0.5286332667    0.00   0.43      0.57
12   0.9828125 0.691410804 0.3032770534 0.1214088986    0.00   0.06      0.94
13   0.9602344 0.518831939 0.2509773087 0.9887373268    0.00   0.16      0.84
14   0.9989062 0.025036264 0.5643813452 0.3609525410    0.00   0.01      0.99
15   0.9895312 0.920308535 0.2503107805 0.3859714000    0.00   0.03      0.97
16   1.0000000 0.314877409 0.7695485067 0.7644633253    0.00   0.00      1.00
17   0.9007031 0.616709640 0.1555773474 0.3302709421    0.00   0.30      0.70
18   1.0000000 0.429348656 0.9534769696 0.3643260978    0.00   0.00      1.00
19   0.9922656 0.420687015 0.4348242984 0.4652575287    0.00   0.02      0.98
20   0.7940625 0.676980418 0.0201063054 0.4516222167    0.12   0.11      0.77
21   0.9996094 0.514721617 0.6135614326 0.3383394508    0.00   0.00      1.00
22   0.9942969 0.818938221 0.3258747063 0.2630255492    0.00   0.02      0.98
23   0.9844922 0.928132602 0.2442399324 0.5343931832    0.00   0.04      0.96
24   1.0000000 0.881604358 0.7708703196 0.8246940700    0.00   0.00      1.00
25   1.0000000 0.760353473 0.9222375315 0.5672205312    0.00   0.00      1.00
26   0.9670313 0.478488715 0.2820605100 0.3257584434    0.00   0.17      0.83
27   0.1891016 0.136429390 0.0151840518 0.7567962168    0.48   0.43      0.09
28   0.9998828 0.838607111 0.6090248302 0.9285633424    0.00   0.00      1.00
29   0.8539453 0.860652902 0.0521179915 0.3082021221    0.04   0.16      0.80
30   0.8893750 0.908802263 0.0273012428 0.5255637362    0.05   0.08      0.87
31   0.5389063 0.214051978 0.0664088172 0.1358361053    0.16   0.57      0.27
32   1.0000000 0.500625509 0.9852387633 0.6328171892    0.00   0.00      1.00
33   0.9999609 0.176471301 0.6961369731 0.0188350864    0.00   0.00      1.00
34   1.0000000 0.840226280 0.9314466759 0.5563656867    0.00   0.00      1.00
35   0.9999609 0.933160806 0.5257534615 0.4084146598    0.00   0.00      1.00
36   0.5815234 0.007851950 0.1044058197 0.7315078282    0.02   0.85      0.13
37   1.0000000 0.579136766 0.8950510845 0.1917228110    0.00   0.00      1.00
38   0.9989844 0.801024080 0.4987241747 0.0419687920    0.00   0.00      1.00
39   0.8370703 0.368136791 0.1506950392 0.6277815993    0.00   0.49      0.51
40   0.8985156 0.526767876 0.1860403335 0.2978994858    0.00   0.31      0.69
41   1.0000000 0.029731110 0.8675992575 0.0308290448    0.00   0.00      1.00
42   1.0000000 0.996586706 0.4752997553 0.0559991440    0.00   0.00      1.00
43   0.9976172 0.223647370 0.4884192236 0.4788003480    0.00   0.00      1.00
44   0.9997656 0.794115599 0.5888763163 0.0953504692    0.00   0.00      1.00
45   1.0000000 0.886829557 0.9291793299 0.4919872438    0.00   0.00      1.00
46   0.9937109 0.142109691 0.4658590262 0.5406831370    0.00   0.02      0.98
47   1.0000000 0.344477264 0.8303856123 0.6978397376    0.00   0.00      1.00
48   0.9999609 0.896341621 0.5275357829 0.6531102115    0.00   0.00      1.00
49   0.8060938 0.344151792 0.1282324290 0.5030478861    0.00   0.46      0.54
50   0.9996875 0.783480280 0.6060021375 0.5284815459    0.00   0.00      1.00
51   1.0000000 0.653190562 0.9598400060 0.3916361083    0.00   0.00      1.00
52   1.0000000 0.086757754 0.9914220579 0.9111675394    0.00   0.00      1.00
53   0.5328516 0.013224357 0.0854809384 0.6709484525    0.03   0.85      0.12
54   1.0000000 0.090239634 0.9150939977 0.4440526366    0.00   0.00      1.00
55   1.0000000 0.705380675 0.8300139874 0.3815144440    0.00   0.00      1.00
56   0.9992969 0.868606879 0.4315062910 0.1057402613    0.00   0.00      1.00
57   0.9467578 0.179683845 0.2782139389 0.3728718210    0.00   0.25      0.75
58   1.0000000 0.401511389 0.7479587595 0.6475335804    0.00   0.00      1.00
59   0.9816797 0.360921966 0.3542433914 0.9904944180    0.00   0.10      0.90
60   0.6558984 0.294613018 0.0591783910 0.4395034076    0.11   0.44      0.45
61   0.8086719 0.668942496 0.0706265420 0.7996735733    0.01   0.33      0.66
62   0.9999219 0.648689141 0.6297302772 0.2819185106    0.00   0.00      1.00
63   0.6905469 0.155133401 0.1315741714 0.1981386747    0.03   0.67      0.30
64   0.9976563 0.607496193 0.4330055851 0.4745555937    0.00   0.01      0.99
65   1.0000000 0.517961252 0.8337496214 0.8578992339    0.00   0.00      1.00
66   0.9998047 0.635078407 0.6215291107 0.6752429656    0.00   0.00      1.00
67   0.9986719 0.511186455 0.5368761648 0.1721349095    0.00   0.01      0.99
68   1.0000000 0.153297350 0.8782753567 0.5022782162    0.00   0.00      1.00
69   0.9547656 0.385458888 0.2702766932 0.6528384206    0.00   0.09      0.91
70   0.9998828 0.728067772 0.6095382154 0.1335529923    0.00   0.00      1.00
71   0.9966406 0.975001543 0.2883335208 0.1863531317    0.00   0.01      0.99
72   1.0000000 0.152275459 0.7687504021 0.6492452736    0.00   0.00      1.00
73   0.9982813 0.683250672 0.4785493661 0.6066777133    0.00   0.02      0.98
74   0.9976953 0.658520919 0.4280625931 0.1422918302    0.00   0.00      1.00
75   0.9946484 0.912856000 0.2448579888 0.7804456500    0.00   0.02      0.98
76   0.9940234 0.693329497 0.3455480854 0.7177002926    0.00   0.03      0.97
77   0.9983203 0.407366110 0.5381478742 0.2139291773    0.00   0.02      0.98
78   0.9114844 0.946647425 0.0116666881 0.0751130800    0.06   0.04      0.90
79   0.9255859 0.076515972 0.2837236365 0.6750535055    0.00   0.33      0.67
80   0.9965625 0.510371419 0.4451997110 0.2611213198    0.00   0.02      0.98
81   0.7648828 0.156804957 0.1607746121 0.8133554994    0.00   0.74      0.26
82   0.9360547 0.900548640 0.0367481823 0.9588409995    0.02   0.06      0.92
83   0.8032422 0.686651688 0.0255473941 0.6886350992    0.08   0.15      0.77
84   0.8362500 0.193119928 0.1868598047 0.3048264263    0.00   0.53      0.47
85   0.9876563 0.795271327 0.2881177103 0.2333396501    0.00   0.05      0.95
86   1.0000000 0.330741065 0.7961805926 0.6290128476    0.00   0.00      1.00
87   0.9970703 0.066914885 0.5264594974 0.1601720082    0.00   0.02      0.98
88   0.9999219 0.225168426 0.6803647564 0.2062432908    0.00   0.00      1.00
89   1.0000000 0.598302803 0.7467411435 0.0414726306    0.00   0.00      1.00
90   0.9998828 0.493040076 0.5910519452 0.3961929248    0.00   0.00      1.00
91   0.3551172 0.131440980 0.0381781608 0.1106411738    0.36   0.47      0.17
92   0.9730469 0.818160767 0.1938754637 0.0681862480    0.00   0.09      0.91
93   1.0000000 0.143094736 0.8636954098 0.8641034882    0.00   0.00      1.00
