      prop.aneu   prob.meio   prob.mito    dispersal euploid mosaic aneuploid
1    0.92406250 0.518083814 0.200755391 0.4133526136    0.00   0.26      0.74
2    1.00000000 0.115797719 0.812179942 0.7003338602    0.00   0.00      1.00
3    1.00000000 0.121860408 0.777745217 0.5072371950    0.00   0.00      1.00
4    0.99996094 0.329634654 0.731270937 0.0236507272    0.00   0.00      1.00
5    1.00000000 0.346770856 0.793348486 0.4931459269    0.00   0.00      1.00
6    0.99980469 0.113921810 0.629490461 0.5509490294    0.00   0.00      1.00
7    0.99941406 0.295736641 0.626558745 0.0370856500    0.00   0.00      1.00
8    0.62335938 0.608481052 0.003938447 0.9545116557    0.37   0.02      0.61
9    1.00000000 0.186495181 0.939307675 0.3084393062    0.00   0.00      1.00
10   0.79285156 0.712261813 0.051339083 0.0064161504    0.18   0.07      0.75
11   0.99058594 0.234724030 0.441674703 0.6996645757    0.00   0.04      0.96
12   0.98718750 0.112817380 0.410696014 0.1744876162    0.00   0.04      0.96
13   0.99890625 0.629667642 0.497652226 0.0772985029    0.00   0.00      1.00
14   0.99718750 0.929605838 0.341837211 0.9831928730    0.00   0.01      0.99
15   1.00000000 0.977099583 0.547917202 0.8995328546    0.00   0.00      1.00
16   0.77039062 0.772338685 0.031266909 0.5382785364    0.09   0.21      0.70
17   0.99851563 0.425536840 0.536074121 0.7707242894    0.00   0.02      0.98
18   0.92718750 0.831378436 0.090913243 0.7036004474    0.02   0.11      0.87
19   0.99996094 0.395960788 0.735714172 0.3955143201    0.00   0.00      1.00
20   1.00000000 0.918064926 0.708244176 0.4646891060    0.00   0.00      1.00
21   0.99289063 0.709355436 0.364559427 0.1912099917    0.00   0.03      0.97
22   0.97582031 0.745747786 0.275960891 0.7545094970    0.00   0.08      0.92
23   1.00000000 0.954172844 0.768584321 0.9012182287    0.00   0.00      1.00
24   0.99992187 0.707614516 0.584257585 0.8198583138    0.00   0.00      1.00
25   0.99953125 0.617723774 0.555668541 0.0186665468    0.00   0.00      1.00
26   0.92687500 0.855029873 0.034866631 0.0990456920    0.05   0.05      0.90
27   0.87812500 0.130197763 0.220800199 0.4680312031    0.00   0.39      0.61
28   0.99128906 0.732499385 0.340948972 0.7720950770    0.00   0.03      0.97
29   1.00000000 0.824060513 0.831187220 0.0860714104    0.00   0.00      1.00
30   0.99996094 0.134048672 0.705676389 0.7802286057    0.00   0.00      1.00
31   0.75667969 0.723122060 0.024547840 0.9944278032    0.11   0.20      0.69
32   1.00000000 0.132612244 0.862273898 0.1078728656    0.00   0.00      1.00
33   0.99988281 0.237203101 0.629903313 0.0799980683    0.00   0.00      1.00
34   0.68425781 0.031567458 0.135620062 0.2541777256    0.01   0.81      0.18
35   0.68898437 0.405012107 0.074884629 0.1441879449    0.10   0.43      0.47
36   1.00000000 0.976491002 0.992827965 0.8710615139    0.00   0.00      1.00
37   0.98097656 0.308403312 0.364512932 0.0620452533    0.00   0.03      0.97
38   0.99878906 0.793498470 0.513704834 0.9233034959    0.00   0.00      1.00
39   0.95484375 0.852883270 0.128777409 0.4378825370    0.00   0.12      0.88
40   1.00000000 0.727659754 0.878214724 0.2351674587    0.00   0.00      1.00
41   1.00000000 0.109240961 0.665946391 0.0477576698    0.00   0.00      1.00
42   0.74468750 0.614764601 0.046437072 0.2636858516    0.15   0.20      0.65
43   0.99519531 0.504694072 0.438733398 0.0136127691    0.00   0.02      0.98
44   0.96917969 0.445529331 0.283405496 0.2314114850    0.00   0.13      0.87
45   1.00000000 0.760523236 0.769318320 0.2326252447    0.00   0.00      1.00
46   1.00000000 0.862179815 0.717916397 0.3007362515    0.00   0.00      1.00
47   1.00000000 0.441403296 0.985108147 0.0351238367    0.00   0.00      1.00
48   0.97808594 0.831014947 0.193391932 0.0320526729    0.00   0.07      0.93
49   0.72601563 0.241990627 0.131489095 0.5321325874    0.00   0.68      0.32
50   0.99484375 0.456238301 0.433021250 0.3273464183    0.00   0.02      0.98
51   0.99687500 0.709789998 0.419437733 0.7024821942    0.00   0.02      0.98
52   0.99992187 0.538381049 0.769147106 0.7998642705    0.00   0.00      1.00
53   0.98820312 0.487685152 0.371595426 0.8959706221    0.00   0.05      0.95
54   0.77359375 0.418550482 0.125007705 0.1702562554    0.04   0.48      0.48
55   0.99898438 0.663532198 0.494049202 0.0155373758    0.00   0.01      0.99
56   1.00000000 0.858966324 0.920395556 0.0487303091    0.00   0.00      1.00
57   0.99855469 0.767833371 0.397701628 0.2618648396    0.00   0.00      1.00
58   0.84941406 0.289709286 0.181601299 0.2490677172    0.00   0.44      0.56
59   0.99984375 0.830561968 0.612332146 0.6498855047    0.00   0.00      1.00
60   0.99769531 0.938506937 0.433067835 0.2458666330    0.00   0.00      1.00
61   1.00000000 0.972859864 0.206428897 0.1696773614    0.00   0.00      1.00
62   0.99972656 0.779469439 0.541416338 0.2121122926    0.00   0.00      1.00
63   0.99507813 0.545063854 0.405506090 0.4535666623    0.00   0.02      0.98
64   1.00000000 0.092690855 0.702419741 0.5396963230    0.00   0.00      1.00
65   0.89976563 0.233713964 0.232349966 0.7772263824    0.00   0.41      0.59
66   0.96843750 0.953366077 0.014376213 0.2228812985    0.03   0.01      0.96
67   0.98613281 0.909584115 0.200607291 0.3179276555    0.00   0.05      0.95
68   1.00000000 0.620921966 0.754357905 0.5942256525    0.00   0.00      1.00
69   1.00000000 0.640170476 0.750502302 0.8219517556    0.00   0.00      1.00
70   0.99757812 0.908688758 0.376332474 0.4148513053    0.00   0.00      1.00
71   0.55882813 0.237539091 0.056758877 0.1175150401    0.22   0.43      0.35
72   0.65699219 0.645017041 0.002356583 0.2804776465    0.33   0.02      0.65
73   0.66402344 0.094037197 0.120130330 0.0679552427    0.06   0.69      0.25
74   0.23683594 0.033339366 0.028727628 0.5785531471    0.39   0.55      0.06
75   0.99988281 0.872503639 0.584124657 0.8823031033    0.00   0.00      1.00
76   0.96562500 0.564440584 0.282915492 0.6893765801    0.00   0.14      0.86
77   0.85867187 0.595246349 0.107780030 0.9162295510    0.01   0.31      0.68
78   1.00000000 0.662221913 0.733647716 0.9101231636    0.00   0.00      1.00
79   1.00000000 0.767908557 0.716750371 0.7593303374    0.00   0.00      1.00
80   0.95976562 0.478129211 0.268891448 0.5095598893    0.00   0.18      0.82
81   1.00000000 0.476772908 0.759261159 0.5332747807    0.00   0.00      1.00
82   1.00000000 0.110487631 0.976864076 0.8544650897    0.00   0.00      1.00
83   0.69199219 0.162901390 0.113717871 0.4643299819    0.00   0.72      0.28
84   1.00000000 0.552602872 0.885840621 0.8654317958    0.00   0.00      1.00
85   0.89332031 0.790387320 0.096396671 0.6952938826    0.00   0.25      0.75
86   1.00000000 0.391409914 0.922867871 0.0933618015    0.00   0.00      1.00
87   0.99984375 0.722099122 0.589440479 0.0752151737    0.00   0.00      1.00
88   0.96757812 0.290950153 0.314418354 0.0506925338    0.00   0.11      0.89
89   0.16597656 0.069846160 0.010219202 0.8370164814    0.63   0.29      0.08
90   1.00000000 0.405267806 0.699307542 0.6863454860    0.00   0.00      1.00
91   0.99984375 0.323038804 0.683959907 0.2373792529    0.00   0.00      1.00
92   0.99984375 0.967786761 0.398708123 0.0181363211    0.00   0.00      1.00
93   0.96820313 0.359858129 0.324803337 0.4453900706    0.00   0.21      0.79
94   0.99984375 0.595744267 0.590339387 0.7840741598    0.00   0.00      1.00
95   1.00000000 0.991266175 0.194845795 0.4119477326    0.00   0.00      1.00
96   0.99753906 0.217891804 0.520777754 0.7695463561    0.00   0.00      1.00
97   0.99953125 0.840150175 0.591728783 0.0226913271    0.00   0.01      0.99
98   0.99035156 0.913105806 0.181346500 0.0173639804    0.00   0.04      0.96
99   0.98878906 0.674755803 0.342158289 0.8820887816    0.00   0.04      0.96
100  1.00000000 0.507702758 0.787627339 0.4184255153    0.00   0.00      1.00
101  1.00000000 0.233578889 0.757352067 0.1955190273    0.00   0.00      1.00
102  0.99636719 0.958149567 0.246850519 0.4676905600    0.00   0.00      1.00
103  0.53582031 0.185136575 0.070625574 0.2472956963    0.16   0.65      0.19
104  0.94882813 0.679549329 0.211211081 0.6127062396    0.00   0.17      0.83
105  0.67296875 0.102034307 0.113096905 0.4693160015    0.00   0.73      0.27
106  1.00000000 0.441655917 0.894097745 0.8793901072    0.00   0.00      1.00
107  1.00000000 0.849346312 0.829646517 0.1960989081    0.00   0.00      1.00
108  1.00000000 0.002015165 0.751035675 0.4086433342    0.00   0.00      1.00
109  0.99933594 0.782713543 0.508153416 0.7961670433    0.00   0.01      0.99
110  1.00000000 0.482556890 0.845833163 0.4595538250    0.00   0.00      1.00
111  0.99972656 0.086258522 0.608310983 0.7689093305    0.00   0.00      1.00
112  0.98617188 0.940984317 0.202582559 0.1351316706    0.00   0.05      0.95
113  1.00000000 0.867549935 0.706279314 0.6347022548    0.00   0.00      1.00
114  0.63117188 0.336380255 0.063631359 0.7271658026    0.07   0.51      0.42
115  1.00000000 0.484298070 0.848825950 0.8778318230    0.00   0.00      1.00
116  1.00000000 0.311163186 0.862879018 0.2385430075    0.00   0.00      1.00
117  1.00000000 0.991154780 0.981947568 0.0083926066    0.00   0.00      1.00
118  0.72082031 0.506073781 0.042610682 0.2382219578    0.15   0.24      0.61
119  1.00000000 0.260350503 0.964927409 0.7623691105    0.00   0.00      1.00
120  0.92425781 0.868476948 0.005438108 0.5315084085    0.07   0.01      0.92
121  1.00000000 0.538038217 0.843535489 0.2470710170    0.00   0.00      1.00
122  0.70843750 0.013223995 0.137903342 0.6851827023    0.00   0.78      0.22
123  0.99964844 0.147500854 0.666299986 0.6409543231    0.00   0.00      1.00
124  0.98128906 0.955294366 0.168479941 0.1064852600    0.00   0.05      0.95
125  1.00000000 0.526198403 0.807512005 0.7045765803    0.00   0.00      1.00
126  1.00000000 0.682314221 0.998208482 0.0232525885    0.00   0.00      1.00
127  1.00000000 0.383607781 0.947842347 0.7284994347    0.00   0.00      1.00
128  1.00000000 0.081108495 0.778811382 0.3112722649    0.00   0.00      1.00
129  0.95324219 0.866577377 0.133485228 0.0612824233    0.00   0.10      0.90
130  0.94773438 0.125602443 0.314274750 0.8686984167    0.00   0.26      0.74
131  1.00000000 0.697535793 0.906543538 0.1585213980    0.00   0.00      1.00
132  0.99476562 0.796276939 0.366620278 0.5650826718    0.00   0.01      0.99
133  1.00000000 0.711787134 0.867542896 0.6126607647    0.00   0.00      1.00
134  0.71261719 0.338003810 0.107186464 0.7701187744    0.02   0.56      0.42
135  0.91960937 0.751034211 0.115949346 0.1779228228    0.00   0.19      0.81
136  0.99949219 0.903454568 0.505605160 0.7898386766    0.00   0.01      0.99
137  0.99316406 0.106190917 0.470379042 0.6827838132    0.00   0.04      0.96
138  0.96062500 0.296339725 0.292292466 0.2828043092    0.00   0.13      0.87
139  0.28035156 0.226255728 0.010814459 0.8766316420    0.56   0.23      0.21
140  0.93289062 0.472460449 0.228651803 0.6359790482    0.00   0.23      0.77
141  1.00000000 0.411755912 0.973539714 0.2492687677    0.00   0.00      1.00
142  0.99878906 0.535415448 0.513137773 0.1293505060    0.00   0.01      0.99
143  0.99238281 0.692069369 0.350486644 0.6878824949    0.00   0.02      0.98
144  1.00000000 0.965084362 0.925936720 0.1958277421    0.00   0.00      1.00
145  1.00000000 0.795303228 0.935053852 0.2611926780    0.00   0.00      1.00
146  0.97894531 0.444730205 0.354957661 0.9265251101    0.00   0.08      0.92
147  1.00000000 0.405879215 0.859549768 0.4986761424    0.00   0.00      1.00
148  0.94148438 0.328053610 0.265296571 0.9484853717    0.00   0.20      0.80
149  1.00000000 0.700302854 0.785747700 0.4215286411    0.00   0.00      1.00
150  0.99695312 0.428182736 0.490358195 0.9701794202    0.00   0.00      1.00
151  0.96472656 0.100166242 0.341383472 0.3349320020    0.00   0.17      0.83
152  1.00000000 0.346418705 0.768763398 0.9540342991    0.00   0.00      1.00
153  1.00000000 0.582836370 0.881077825 0.4603401045    0.00   0.00      1.00
154  0.68851562 0.225343727 0.098543511 0.1250374974    0.10   0.55      0.35
155  0.98984375 0.669427777 0.364181689 0.9525546383    0.00   0.05      0.95
156  0.98945313 0.219984001 0.409670273 0.5691571177    0.00   0.07      0.93
157  0.99765625 0.959372576 0.286642851 0.7147805095    0.00   0.01      0.99
158  1.00000000 0.077149700 0.958523283 0.1452563112    0.00   0.00      1.00
159  1.00000000 0.681585534 0.866898193 0.4395615500    0.00   0.00      1.00
160  1.00000000 0.988323112 0.734031091 0.3393741371    0.00   0.00      1.00
161  0.98957031 0.442437024 0.393552391 0.0601826955    0.00   0.03      0.97
162  1.00000000 0.459435297 0.860990812 0.1122279449    0.00   0.00      1.00
163  1.00000000 0.661070009 0.837912353 0.1977093369    0.00   0.00      1.00
164  1.00000000 0.925939407 0.702083634 0.6892536348    0.00   0.00      1.00
165  0.83617188 0.561232202 0.132803045 0.6381951494    0.00   0.40      0.60
166  0.84343750 0.326792154 0.155116418 0.3718634965    0.00   0.40      0.60
167  0.99996094 0.757653782 0.685790021 0.8382962246    0.00   0.00      1.00
168  0.42726562 0.175836084 0.046878239 0.8803753529    0.08   0.76      0.16
169  1.00000000 0.424865272 0.929144232 0.3527711548    0.00   0.00      1.00
170  0.99972656 0.904754001 0.424201309 0.6060799714    0.00   0.00      1.00
171  0.99921875 0.260689256 0.590553413 0.5896973687    0.00   0.00      1.00
172  0.99980469 0.465746789 0.575316397 0.7941171222    0.00   0.00      1.00
173  0.80199219 0.510253903 0.103971356 0.4879890799    0.02   0.40      0.58
174  0.82335938 0.023921925 0.197044907 0.5290863619    0.00   0.54      0.46
175  0.84550781 0.501655572 0.143274279 0.4922753978    0.00   0.44      0.56
176  1.00000000 0.547925554 0.973578509 0.5551055653    0.00   0.00      1.00
177  1.00000000 0.165290887 0.774158695 0.9089527135    0.00   0.00      1.00
178  0.45261719 0.332321787 0.020481678 0.6504110962    0.34   0.31      0.35
179  0.60230469 0.459026315 0.025294769 0.0410158781    0.30   0.14      0.56
180  1.00000000 0.829614539 0.720692920 0.1249041702    0.00   0.00      1.00
181  1.00000000 0.502735334 0.729379913 0.1909178675    0.00   0.00      1.00
182  1.00000000 0.281761055 0.773469728 0.3871468846    0.00   0.00      1.00
183  0.62398438 0.015415329 0.113111447 0.3931091444    0.01   0.88      0.11
184  0.94101563 0.576268139 0.234395669 0.1886893769    0.00   0.23      0.77
185  0.96390625 0.744547554 0.223219482 0.3029860060    0.00   0.10      0.90
186  0.99312500 0.092448601 0.468461702 0.7307469442    0.00   0.06      0.94
187  1.00000000 0.246299403 0.742130131 0.6998205595    0.00   0.00      1.00
188  0.90593750 0.781367987 0.121716663 0.2654870045    0.01   0.22      0.77
189  1.00000000 0.074676224 0.871955388 0.4188797257    0.00   0.00      1.00
190  0.95531250 0.940874862 0.113699721 0.1598683409    0.00   0.09      0.91
191  1.00000000 0.397543474 0.767125457 0.7494437853    0.00   0.00      1.00
192  0.99652344 0.438858854 0.469324267 0.1371168133    0.00   0.00      1.00
193  0.82984375 0.403829221 0.176678756 0.5458509768    0.00   0.49      0.51
194  0.99750000 0.667016903 0.460010039 0.7813784776    0.00   0.01      0.99
195  0.99988281 0.390964695 0.668835860 0.1533986300    0.00   0.00      1.00
196  0.39820312 0.321468907 0.005110987 0.2687068970    0.56   0.06      0.38
197  1.00000000 0.932914810 0.993909516 0.2963109580    0.00   0.00      1.00
198  1.00000000 0.454519830 0.964855077 0.1331286253    0.00   0.00      1.00
199  0.98675781 0.652929341 0.314397161 0.1268567161    0.00   0.08      0.92
200  0.96898438 0.256432332 0.329892181 0.0339490958    0.00   0.14      0.86
201  1.00000000 0.042090630 0.940241484 0.9421852478    0.00   0.00      1.00
202  0.99992187 0.927792081 0.549334429 0.3256554855    0.00   0.00      1.00
203  0.95464844 0.161341299 0.333051968 0.6469357037    0.00   0.25      0.75
204  0.85503906 0.047588633 0.211548318 0.7035080525    0.00   0.54      0.46
205  1.00000000 0.160015234 0.964804959 0.3404346919    0.00   0.00      1.00
206  1.00000000 0.057445505 0.966200538 0.5282480964    0.00   0.00      1.00
207  1.00000000 0.560465968 0.865403604 0.6223478580    0.00   0.00      1.00
208  0.53578125 0.148476267 0.064872502 0.9272518929    0.06   0.73      0.21
209  1.00000000 0.247483660 0.833678554 0.5130039256    0.00   0.00      1.00
210  1.00000000 0.509648099 0.732076701 0.6928519453    0.00   0.00      1.00
211  1.00000000 0.657999843 0.799958482 0.4503903852    0.00   0.00      1.00
212  0.98906250 0.952207791 0.154917423 0.3868066685    0.00   0.03      0.97
213  1.00000000 0.651795292 0.733171433 0.1694814104    0.00   0.00      1.00
214  0.88019531 0.704451008 0.093486017 0.0658778024    0.04   0.23      0.73
