     prop.aneu    prob.meio   prob.mito   dispersal euploid mosaic aneuploid
1    0.9992969 0.3356813642 0.573002548 0.887732801    0.00   0.02      0.98
2    1.0000000 0.5634194363 0.905449020 0.476183372    0.00   0.00      1.00
3    0.9938281 0.8060259086 0.323379372 0.674009779    0.00   0.02      0.98
4    1.0000000 0.2191927391 0.986791132 0.842510028    0.00   0.00      1.00
5    1.0000000 0.5287485281 0.898899344 0.356035095    0.00   0.00      1.00
6    0.9963281 0.2189601192 0.503214621 0.016095450    0.00   0.02      0.98
7    0.9543359 0.5453037992 0.232532771 0.016213211    0.00   0.12      0.88
8    1.0000000 0.4110940967 0.828111630 0.771635018    0.00   0.00      1.00
9    0.9748828 0.0399922680 0.357592961 0.560892703    0.00   0.11      0.89
10   0.9981250 0.1431968540 0.521904779 0.840258204    0.00   0.00      1.00
11   0.8677344 0.4837935215 0.160969033 0.791072444    0.01   0.37      0.62
12   0.9089063 0.7642258257 0.129699353 0.411841880    0.00   0.25      0.75
13   0.9968750 0.3142759386 0.489483190 0.512744852    0.00   0.02      0.98
14   0.9746094 0.5879577838 0.286474658 0.700223344    0.00   0.07      0.93
15   0.9940625 0.5560208098 0.422006105 0.922491523    0.00   0.04      0.96
16   0.9997266 0.8877120272 0.542432322 0.979316169    0.00   0.00      1.00
17   1.0000000 0.4340148952 0.800114087 0.472417386    0.00   0.00      1.00
18   0.9925391 0.2776090626 0.440119740 0.267746941    0.00   0.03      0.97
19   0.9998828 0.3123223777 0.628996975 0.791220434    0.00   0.00      1.00
20   1.0000000 0.8841687082 0.702507240 0.857334180    0.00   0.00      1.00
21   1.0000000 0.7872517640 0.993730898 0.622948040    0.00   0.00      1.00
22   0.9065234 0.6817516075 0.159052931 0.219711442    0.00   0.26      0.74
23   0.9423828 0.9481790389 0.054358325 0.690736491    0.00   0.08      0.92
24   0.9825781 0.6695896564 0.298120252 0.492698536    0.00   0.10      0.90
25   0.9680469 0.1528524971 0.344687346 0.365444572    0.00   0.14      0.86
26   1.0000000 0.0828523412 0.926197868 0.564102122    0.00   0.00      1.00
27   0.9658203 0.4220934468 0.303548412 0.836580658    0.00   0.11      0.89
28   0.9993359 0.2893241858 0.611078114 0.942146854    0.00   0.01      0.99
29   1.0000000 0.0968831591 0.806085209 0.487225554    0.00   0.00      1.00
30   0.9999219 0.1004693648 0.709096670 0.022745894    0.00   0.00      1.00
31   1.0000000 0.8445300730 0.645975636 0.656345898    0.00   0.00      1.00
