        prop.aneu   prob.meio    prob.mito   dispersal euploid mosaic aneuploid
1    0.9958203125 0.922635391 2.800071e-01 0.488655236    0.00   0.03      0.97
2    1.0000000000 0.271449217 7.910512e-01 0.787533212    0.00   0.00      1.00
3    0.9408593750 0.552714991 2.362108e-01 0.367079655    0.00   0.20      0.80
4    0.9983984375 0.059957820 5.856298e-01 0.457923138    0.00   0.00      1.00
5    0.9529296875 0.828459002 1.777296e-01 0.640145878    0.00   0.11      0.89
6    1.0000000000 0.415514621 8.310847e-01 0.469541491    0.00   0.00      1.00
7    1.0000000000 0.906163429 6.444461e-01 0.815716265    0.00   0.00      1.00
8    0.9970703125 0.830384504 3.990129e-01 0.086315197    0.00   0.02      0.98
9    0.9977734375 0.048019283 5.341621e-01 0.345192715    0.00   0.02      0.98
10   0.5709375000 0.138900012 9.106352e-02 0.808950481    0.00   0.80      0.20
11   0.9638281250 0.808882261 1.798510e-01 0.154484520    0.00   0.11      0.89
12   0.9995703125 0.068955190 6.269494e-01 0.906516367    0.00   0.00      1.00
13   1.0000000000 0.007417543 9.419411e-01 0.348622467    0.00   0.00      1.00
14   0.2407421875 0.064057069 2.499131e-02 0.493516362    0.45   0.45      0.10
15   1.0000000000 0.418960354 7.930186e-01 0.618344500    0.00   0.00      1.00
16   0.9999218750 0.916120363 6.680810e-01 0.296210514    0.00   0.00      1.00
17   0.9741406250 0.141816911 3.676771e-01 0.787059323    0.00   0.15      0.85
18   0.9123437500 0.450931551 2.081736e-01 0.194503705    0.00   0.30      0.70
19   1.0000000000 0.802188034 9.554014e-01 0.932871299    0.00   0.00      1.00
20   1.0000000000 0.400597644 9.359104e-01 0.403337849    0.00   0.00      1.00
21   0.9995703125 0.882779066 5.601375e-01 0.469339714    0.00   0.00      1.00
22   0.5293359375 0.514295512 1.057509e-02 0.738380466    0.36   0.15      0.49
23   0.5472656250 0.275850110 6.402111e-02 0.572223365    0.03   0.71      0.26
24   1.0000000000 0.246217620 9.880309e-01 0.474772578    0.00   0.00      1.00
25   0.9906250000 0.514052077 3.952982e-01 0.088259578    0.00   0.03      0.97
26   1.0000000000 0.164524271 7.316509e-01 0.348739265    0.00   0.00      1.00
27   0.9960546875 0.865844407 3.242725e-01 0.976738133    0.00   0.00      1.00
28   0.9504296875 0.783979525 1.325514e-01 0.344965740    0.00   0.12      0.88
29   0.9973828125 0.586911356 4.477643e-01 0.704873286    0.00   0.01      0.99
30   0.9968750000 0.145338736 5.173011e-01 0.237641925    0.00   0.01      0.99
31   0.9999609375 0.427269738 7.008045e-01 0.739784073    0.00   0.00      1.00
32   0.9986718750 0.451366331 5.562863e-01 0.032014904    0.00   0.02      0.98
33   0.9998046875 0.329269364 6.011920e-01 0.408019889    0.00   0.00      1.00
34   0.9242578125 0.383957799 2.312032e-01 0.449200307    0.00   0.27      0.73
35   0.9679296875 0.203478493 3.279199e-01 0.598264634    0.00   0.12      0.88
36   0.8143750000 0.425950072 1.456527e-01 0.103777250    0.00   0.50      0.50
37   1.0000000000 0.077926520 9.022333e-01 0.975771169    0.00   0.00      1.00
38   1.0000000000 0.914332460 7.521414e-01 0.094633328    0.00   0.00      1.00
