     prop.aneu    prob.meio   prob.mito    dispersal euploid mosaic aneuploid
1    0.9966406 0.8540172470 0.371518488 0.6580106793    0.00   0.00      1.00
2    0.9198047 0.5776465712 0.188017041 0.8484397295    0.00   0.24      0.76
3    0.9997656 0.9505611102 0.495826817 0.3901829401    0.00   0.00      1.00
4    0.9706641 0.4524044066 0.275795938 0.1214034443    0.00   0.14      0.86
5    0.9999609 0.7159889531 0.595027907 0.3385672148    0.00   0.00      1.00
6    1.0000000 0.5873752455 0.881669063 0.3138458394    0.00   0.00      1.00
7    0.9983984 0.0790821919 0.544831590 0.6672856400    0.00   0.00      1.00
8    1.0000000 0.4889949835 0.641725074 0.6211814813    0.00   0.00      1.00
9    0.9992578 0.2033688074 0.601964505 0.9303218767    0.00   0.00      1.00
10   0.8850391 0.4681966829 0.195713446 0.1205465863    0.00   0.37      0.63
11   1.0000000 0.7240073048 0.987896604 0.3000014909    0.00   0.00      1.00
12   0.9999219 0.0202122440 0.675230948 0.2428821267    0.00   0.00      1.00
13   0.9992969 0.8644536512 0.471357701 0.4359087376    0.00   0.02      0.98
14   0.5158594 0.1013396876 0.077102783 0.7250292958    0.00   0.84      0.16
15   0.9972656 0.0120956860 0.517823666 0.2177199407    0.00   0.01      0.99
16   0.9908203 0.9792572437 0.037180937 0.9818743193    0.01   0.00      0.99
17   0.9903125 0.3802650084 0.414009740 0.9672404793    0.00   0.05      0.95
18   0.7271094 0.4777371185 0.074010120 0.8295343798    0.02   0.48      0.50
19   1.0000000 0.7090272829 0.802802885 0.5716048053    0.00   0.00      1.00
20   0.9773828 0.4366187358 0.333457909 0.3030666574    0.00   0.11      0.89
21   0.9990625 0.4163813279 0.548396126 0.4581570947    0.00   0.01      0.99
22   0.9495703 0.5959666052 0.218027170 0.8486040467    0.00   0.18      0.82
23   0.9754687 0.7468225546 0.251035544 0.9874047050    0.00   0.11      0.89
24   0.9999609 0.6886375451 0.637722358 0.9901298617    0.00   0.00      1.00
25   0.9985937 0.4606847605 0.508837138 0.3623536006    0.00   0.01      0.99
26   1.0000000 0.3719401693 0.896200799 0.7599312086    0.00   0.00      1.00
27   1.0000000 0.8596060870 0.752270885 0.4848789321    0.00   0.00      1.00
28   0.9559375 0.2087304350 0.308813566 0.8745836269    0.00   0.15      0.85
29   1.0000000 0.2159747961 0.797155910 0.7681568163    0.00   0.00      1.00
30   0.8613281 0.8054354871 0.056345467 0.4977512439    0.02   0.20      0.78
31   0.9998828 0.9025861821 0.506024953 0.5895399796    0.00   0.01      0.99
32   0.9875391 0.3367761548 0.394123293 0.9981636063    0.00   0.04      0.96
33   1.0000000 0.3850221739 0.830190453 0.5219746612    0.00   0.00      1.00
34   0.9964063 0.3463116908 0.486443774 0.4946993457    0.00   0.02      0.98
35   0.9996094 0.2193982804 0.576568210 0.7535337044    0.00   0.01      0.99
36   0.8671875 0.1608032011 0.203586267 0.9978468278    0.00   0.49      0.51
37   1.0000000 0.0335774720 0.943889200 0.9253492760    0.00   0.00      1.00
38   0.9978516 0.8675797845 0.433207497 0.5570585507    0.00   0.01      0.99
39   1.0000000 0.3381744933 0.930884542 0.4446198423    0.00   0.00      1.00
40   0.9976563 0.2366119509 0.532756542 0.6769266468    0.00   0.01      0.99
41   1.0000000 0.1820044923 0.856509983 0.8365113339    0.00   0.00      1.00
