      prop.aneu    prob.meio   prob.mito   dispersal euploid mosaic aneuploid
1    1.00000000 3.728933e-02 0.952879669 0.688393947    0.00   0.00      1.00
2    0.64335937 1.329846e-01 0.104402593 0.554653849    0.01   0.72      0.27
3    1.00000000 3.422895e-01 0.991410001 0.164956836    0.00   0.00      1.00
4    0.99996094 7.549452e-01 0.742605105 0.128285818    0.00   0.00      1.00
5    0.99894531 2.403778e-01 0.548181550 0.173938893    0.00   0.02      0.98
6    0.17203125 1.393323e-01 0.004717983 0.153487972    0.80   0.06      0.14
7    1.00000000 4.515617e-01 0.810274106 0.977894722    0.00   0.00      1.00
8    0.96933594 4.914115e-01 0.293559160 0.053109142    0.00   0.11      0.89
9    0.84707031 8.392110e-01 0.049211049 0.459737314    0.04   0.20      0.76
10   1.00000000 3.282032e-01 0.876718952 0.473269234    0.00   0.00      1.00
11   0.58277344 4.584085e-01 0.036602968 0.615222683    0.15   0.41      0.44
12   0.43812500 3.967912e-01 0.030221010 0.320444215    0.41   0.27      0.32
13   0.70613281 3.042975e-01 0.102273606 0.352731589    0.02   0.64      0.34
14   1.00000000 2.541240e-01 0.963409728 0.937576592    0.00   0.00      1.00
15   0.99980469 7.991216e-01 0.642428342 0.351122879    0.00   0.00      1.00
16   1.00000000 6.464495e-01 0.858322456 0.995005287    0.00   0.00      1.00
17   0.99847656 3.796561e-01 0.528024760 0.261979831    0.00   0.02      0.98
18   0.99996094 8.071339e-01 0.636306309 0.764618074    0.00   0.00      1.00
19   0.99351563 2.956937e-01 0.442815426 0.564085942    0.00   0.03      0.97
20   0.94449219 9.039438e-02 0.291601076 0.473839674    0.00   0.19      0.81
21   0.52089844 7.131173e-02 0.084541626 0.210647798    0.09   0.73      0.18
22   0.92992188 1.145388e-01 0.276352658 0.185654363    0.00   0.34      0.66
23   0.88632813 4.759434e-01 0.161440741 0.464791374    0.00   0.35      0.65
24   0.99996094 8.429238e-01 0.632607711 0.514094235    0.00   0.00      1.00
25   1.00000000 8.237518e-02 0.811907243 0.797661587    0.00   0.00      1.00
26   0.99972656 9.816741e-01 0.409528019 0.313840071    0.00   0.00      1.00
27   1.00000000 4.889130e-01 0.956822709 0.948312763    0.00   0.00      1.00
28   1.00000000 8.599045e-01 0.742364189 0.128822841    0.00   0.00      1.00
29   0.99742188 2.900441e-01 0.499670965 0.282108784    0.00   0.00      1.00
30   0.75550781 7.286855e-01 0.002367107 0.917044749    0.23   0.02      0.75
31   0.98484375 1.654386e-01 0.392995747 0.026218044    0.00   0.04      0.96
32   1.00000000 8.922021e-01 0.979395416 0.997112778    0.00   0.00      1.00
33   0.99992187 6.165348e-01 0.606460955 0.181335086    0.00   0.00      1.00
34   0.99054688 1.107630e-01 0.449955681 0.731913658    0.00   0.05      0.95
35   1.00000000 3.270002e-01 0.887363500 0.502141504    0.00   0.00      1.00
36   1.00000000 1.745464e-03 0.811667843 0.906250262    0.00   0.00      1.00
37   1.00000000 3.657856e-01 0.894548214 0.438666799    0.00   0.00      1.00
38   0.98093750 8.442294e-01 0.207982874 0.314685235    0.00   0.06      0.94
39   0.96531250 1.403294e-01 0.335665004 0.692516482    0.00   0.15      0.85
40   0.99984375 3.310771e-02 0.696768186 0.343590228    0.00   0.00      1.00
41   1.00000000 9.552440e-01 0.970746965 0.441525814    0.00   0.00      1.00
42   1.00000000 1.259090e-01 0.955337113 0.697566416    0.00   0.00      1.00
43   1.00000000 6.369260e-02 0.920700732 0.185027376    0.00   0.00      1.00
44   1.00000000 4.435348e-01 0.938603418 0.863743883    0.00   0.00      1.00
45   1.00000000 7.424189e-01 0.703031141 0.317952353    0.00   0.00      1.00
46   0.99921875 9.631146e-01 0.337238250 0.673504438    0.00   0.00      1.00
47   0.98808594 4.871638e-01 0.381934487 0.857948141    0.00   0.03      0.97
48   0.97742187 5.167771e-01 0.337833781 0.694242697    0.00   0.09      0.91
