     prop.aneu    prob.meio    prob.mito   dispersal euploid mosaic aneuploid
1    1.0000000 0.7978090215 9.102292e-01 0.978040798    0.00   0.00      1.00
2    0.7997266 0.6116001981 7.284206e-02 0.939235768    0.00   0.38      0.62
3    0.9992969 0.7797848855 5.163471e-01 0.397532118    0.00   0.00      1.00
4    0.8972266 0.8246418494 4.483783e-02 0.833573424    0.00   0.15      0.85
5    1.0000000 0.6074181574 7.677838e-01 0.779359312    0.00   0.00      1.00
6    0.7760156 0.0721468695 1.659278e-01 0.968005106    0.00   0.65      0.35
7    1.0000000 0.8537498424 8.643036e-01 0.273484938    0.00   0.00      1.00
8    0.8344531 0.3135308507 1.636441e-01 0.727837773    0.00   0.52      0.48
9    0.9956250 0.5080991182 4.652656e-01 0.289671786    0.00   0.02      0.98
10   0.9999219 0.2658614884 6.646584e-01 0.920014956    0.00   0.00      1.00
11   1.0000000 0.0851822535 9.814575e-01 0.132613667    0.00   0.00      1.00
12   0.9988281 0.8888059671 3.567101e-01 0.561487462    0.00   0.01      0.99
13   0.9954297 0.8238365091 4.023316e-01 0.568015987    0.00   0.04      0.96
14   0.9985937 0.1935584336 5.324081e-01 0.434009269    0.00   0.00      1.00
15   0.8833203 0.1108873412 2.287284e-01 0.611565916    0.00   0.44      0.56
16   0.9014844 0.4252088387 1.970854e-01 0.435310704    0.00   0.33      0.67
17   0.9999219 0.4909790715 6.381043e-01 0.901047832    0.00   0.01      0.99
18   1.0000000 0.4411795514 9.334199e-01 0.661552634    0.00   0.00      1.00
19   1.0000000 0.4475578857 9.345206e-01 0.378157932    0.00   0.00      1.00
20   0.9711719 0.4705543849 2.857516e-01 0.030289865    0.00   0.13      0.87
21   0.9822266 0.0782385403 3.938412e-01 0.921044993    0.00   0.08      0.92
22   1.0000000 0.5779078112 6.927117e-01 0.547161632    0.00   0.00      1.00
23   0.8586328 0.8268509475 6.948305e-02 0.939000884    0.01   0.23      0.76
24   0.9980078 0.6215432854 4.964386e-01 0.120661199    0.00   0.00      1.00
25   0.9986328 0.8386390938 3.936456e-01 0.476029096    0.00   0.00      1.00
26   0.9243359 0.8872109614 7.685964e-02 0.482351714    0.00   0.14      0.86
27   0.9875781 0.2268243483 3.918426e-01 0.268179344    0.00   0.06      0.94
28   0.6394922 0.5214947581 4.344454e-02 0.090296666    0.24   0.27      0.49
29   0.9980859 0.9611686976 2.481251e-01 0.362160793    0.00   0.01      0.99
30   0.9991016 0.2186399440 5.523230e-01 0.913135411    0.00   0.01      0.99
31   0.9999219 0.7239031293 5.888469e-01 0.049984900    0.00   0.00      1.00
32   0.9893750 0.9400755879 2.106263e-01 0.385436691    0.00   0.04      0.96
33   0.9998828 0.7760795227 5.287863e-01 0.281544996    0.00   0.00      1.00
34   0.9950000 0.4541561762 4.600627e-01 0.024078731    0.00   0.02      0.98
35   1.0000000 0.6719510683 9.764756e-01 0.721877850    0.00   0.00      1.00
36   0.9998047 0.0497814436 6.883253e-01 0.805494372    0.00   0.00      1.00
37   0.9910547 0.7840763393 3.153774e-01 0.985961313    0.00   0.03      0.97
38   0.9747656 0.8402889739 1.083103e-01 0.454767321    0.01   0.06      0.93
39   0.9343359 0.4903989783 2.358475e-01 0.222837473    0.00   0.26      0.74
40   0.9988281 0.7779103783 4.359055e-01 0.830507189    0.00   0.01      0.99
41   0.9970703 0.4324003174 4.672678e-01 0.891349113    0.00   0.00      1.00
42   1.0000000 0.2566026791 9.406992e-01 0.207464226    0.00   0.00      1.00
43   1.0000000 0.7992767359 5.600763e-01 0.666700217    0.00   0.00      1.00
44   0.9303125 0.1291113363 2.648512e-01 0.328006628    0.00   0.28      0.72
45   0.9878516 0.2944815909 3.971561e-01 0.052085327    0.00   0.08      0.92
46   1.0000000 0.8196606368 9.802201e-01 0.825697055    0.00   0.00      1.00
47   0.9999219 0.2507779498 6.848760e-01 0.116004246    0.00   0.00      1.00
48   1.0000000 0.7038295825 9.041156e-01 0.816215260    0.00   0.00      1.00
49   0.9489453 0.5230713524 2.459513e-01 0.220017408    0.00   0.19      0.81
50   0.9917187 0.0201400022 4.472252e-01 0.178039476    0.00   0.04      0.96
51   0.9923437 0.6178040057 3.829732e-01 0.520850382    0.00   0.03      0.97
52   1.0000000 0.6574136761 6.851501e-01 0.028278861    0.00   0.00      1.00
53   0.9530469 0.2839738880 2.803967e-01 0.674098988    0.00   0.14      0.86
54   1.0000000 0.0348845939 8.435856e-01 0.635167392    0.00   0.00      1.00
55   0.9967969 0.0746207212 4.739372e-01 0.836047962    0.00   0.04      0.96
56   0.9999609 0.5518949192 6.754991e-01 0.740475318    0.00   0.00      1.00
57   1.0000000 0.7569436296 9.795787e-01 0.237528258    0.00   0.00      1.00
58   0.9918750 0.7918891669 3.485277e-01 0.694511198    0.00   0.06      0.94
59   0.9999609 0.7199495600 6.385231e-01 0.542517359    0.00   0.00      1.00
60   1.0000000 0.8304181069 6.320066e-01 0.248569764    0.00   0.00      1.00
61   0.9881641 0.3501246553 3.953755e-01 0.721242323    0.00   0.05      0.95
62   1.0000000 0.7610053255 9.151692e-01 0.707587364    0.00   0.00      1.00
63   0.9192578 0.3667092563 2.311903e-01 0.463134327    0.00   0.30      0.70
64   1.0000000 0.9185764471 6.954847e-01 0.354338890    0.00   0.00      1.00
65   1.0000000 0.3577455117 9.769174e-01 0.549142903    0.00   0.00      1.00
66   0.6167187 0.3869527704 4.584519e-02 0.771688624    0.04   0.52      0.44
67   0.8038281 0.1125828766 1.707850e-01 0.688583167    0.00   0.57      0.43
68   0.9991016 0.7649486796 5.266210e-01 0.074496299    0.00   0.00      1.00
69   0.9667578 0.8170512759 2.081298e-01 0.484232898    0.00   0.10      0.90
70   0.9883594 0.6413253234 3.494323e-01 0.948716075    0.00   0.07      0.93
71   0.9614844 0.7357546627 2.559521e-01 0.556438471    0.00   0.16      0.84
72   0.9997656 0.7396858812 6.029621e-01 0.074872851    0.00   0.01      0.99
73   1.0000000 0.3443239937 8.539096e-01 0.235930081    0.00   0.00      1.00
74   0.9869531 0.5613718338 3.500175e-01 0.162851221    0.00   0.06      0.94
75   0.9214062 0.7200632095 1.379258e-01 0.632139340    0.00   0.23      0.77
76   0.9522266 0.8070375370 2.055570e-01 0.294988760    0.00   0.17      0.83
77   1.0000000 0.9771271460 9.741722e-01 0.177932148    0.00   0.00      1.00
78   0.9847266 0.7233666542 3.167877e-01 0.065769720    0.00   0.06      0.94
79   0.2207422 0.0243574765 2.265498e-02 0.795173366    0.39   0.55      0.06
80   1.0000000 0.9216094918 6.203135e-01 0.142013622    0.00   0.00      1.00
81   0.6531641 0.6700613510 1.469951e-03 0.770118580    0.34   0.01      0.65
82   0.8177344 0.4778048801 1.179536e-01 0.830936737    0.00   0.42      0.58
83   0.9951172 0.9675473566 1.649020e-01 0.092439206    0.00   0.02      0.98
84   1.0000000 0.4881038554 8.432159e-01 0.074722055    0.00   0.00      1.00
85   1.0000000 0.8161671094 6.823668e-01 0.677830335    0.00   0.00      1.00
86   1.0000000 0.2747559184 6.985163e-01 0.611974338    0.00   0.00      1.00
87   1.0000000 0.3508804715 8.139405e-01 0.074826600    0.00   0.00      1.00
88   1.0000000 0.7702127553 8.388590e-01 0.510700631    0.00   0.00      1.00
89   1.0000000 0.0390991753 9.995872e-01 0.473304958    0.00   0.00      1.00
90   0.9923047 0.8301485991 3.421089e-01 0.718142120    0.00   0.03      0.97
91   0.9962109 0.7018541018 3.977443e-01 0.339678632    0.00   0.03      0.97
92   0.9603906 0.3121231305 3.024410e-01 0.321770630    0.00   0.21      0.79
93   0.9962500 0.7956817411 4.191506e-01 0.461605221    0.00   0.01      0.99
94   0.9621875 0.1703799660 3.201214e-01 0.696971764    0.00   0.16      0.84
95   1.0000000 0.0454875235 8.530187e-01 0.998332186    0.00   0.00      1.00
96   0.9935156 0.6844213966 4.037098e-01 0.539809272    0.00   0.02      0.98
97   1.0000000 0.7457861775 9.146792e-01 0.661981661    0.00   0.00      1.00
98   0.9975781 0.7875241188 4.002045e-01 0.560913764    0.00   0.02      0.98
99   1.0000000 0.1869716775 9.170348e-01 0.513818380    0.00   0.00      1.00
100  0.9360547 0.3659672493 2.446882e-01 0.742464491    0.00   0.28      0.72
101  0.9985547 0.7751440159 4.137243e-01 0.164495886    0.00   0.01      0.99
102  0.9850781 0.3995619018 3.434330e-01 0.601680673    0.00   0.08      0.92
103  0.9994531 0.3354029781 5.981699e-01 0.913703024    0.00   0.00      1.00
104  0.9877734 0.9540032456 1.578918e-01 0.204520088    0.01   0.02      0.97
105  0.7099219 0.3623860842 8.434229e-02 0.042981537    0.07   0.42      0.51
106  1.0000000 0.6531660822 9.938163e-01 0.769089206    0.00   0.00      1.00
107  1.0000000 0.0570650380 8.981619e-01 0.445256169    0.00   0.00      1.00
108  0.9996875 0.1995484061 6.096978e-01 0.965408228    0.00   0.00      1.00
109  0.8641016 0.5940382148 1.444752e-01 0.121959328    0.00   0.38      0.62
110  0.9354297 0.1866116736 2.586883e-01 0.174781342    0.00   0.23      0.77
111  1.0000000 0.9163059397 9.026064e-01 0.863830838    0.00   0.00      1.00
112  0.7273828 0.6741629136 2.413823e-02 0.175348703    0.16   0.17      0.67
113  0.9839453 0.3078543555 3.574889e-01 0.882380305    0.00   0.06      0.94
114  0.9994922 0.9611085341 4.321382e-01 0.341549007    0.00   0.00      1.00
115  0.9178906 0.7450332707 1.526493e-01 0.907269803    0.00   0.20      0.80
116  0.9995312 0.0097722625 5.948407e-01 0.242804923    0.00   0.00      1.00
117  0.9788672 0.2091270760 3.624586e-01 0.236677867    0.00   0.14      0.86
118  1.0000000 0.8517328990 9.245893e-01 0.561233375    0.00   0.00      1.00
119  0.9999609 0.5038468149 7.450916e-01 0.126861970    0.00   0.00      1.00
120  0.9774219 0.8101544483 2.701889e-01 0.013137249    0.00   0.09      0.91
121  1.0000000 0.9939714612 8.421828e-01 0.036019245    0.00   0.00      1.00
122  0.8132422 0.2343085543 1.598683e-01 0.147063046    0.02   0.47      0.51
123  0.9990625 0.5575875232 5.209109e-01 0.747773544    0.00   0.00      1.00
124  0.9830469 0.5053145583 3.650220e-01 0.217201634    0.00   0.07      0.93
125  0.9999609 0.6487244547 7.122868e-01 0.041119145    0.00   0.00      1.00
126  1.0000000 0.4952913758 7.667669e-01 0.012728539    0.00   0.00      1.00
127  1.0000000 0.1298845971 7.324757e-01 0.621274825    0.00   0.00      1.00
128  0.9989062 0.1596536031 5.768429e-01 0.859030997    0.00   0.01      0.99
129  0.6808203 0.6083108403 9.319675e-05 0.373673557    0.31   0.01      0.68
130  0.7164453 0.3670985776 1.107506e-01 0.250167035    0.03   0.60      0.37
131  1.0000000 0.2422683660 9.244670e-01 0.348861929    0.00   0.00      1.00
132  0.8666797 0.2282076033 1.987124e-01 0.128576627    0.00   0.41      0.59
133  1.0000000 0.5809322393 9.186870e-01 0.453483105    0.00   0.00      1.00
134  0.9997656 0.9152461730 4.961447e-01 0.382719707    0.00   0.01      0.99
135  0.9982813 0.7746745765 4.564818e-01 0.848637937    0.00   0.00      1.00
136  0.9962109 0.6968633293 4.152698e-01 0.183878420    0.00   0.01      0.99
137  0.9816797 0.0517314088 3.903552e-01 0.546938598    0.00   0.09      0.91
138  0.9878125 0.7523782398 3.037995e-01 0.666766164    0.00   0.02      0.98
139  0.9841016 0.5814928915 3.422276e-01 0.800487106    0.00   0.09      0.91
140  1.0000000 0.3569035383 9.441642e-01 0.959439716    0.00   0.00      1.00
141  0.9849609 0.4673427306 3.661872e-01 0.867439313    0.00   0.06      0.94
142  0.9880078 0.6494535250 3.696976e-01 0.157759106    0.00   0.04      0.96
143  0.9946875 0.3316968700 4.530030e-01 0.743375974    0.00   0.00      1.00
144  0.9998828 0.2156677996 6.706893e-01 0.165530179    0.00   0.00      1.00
145  0.9991016 0.3894413430 5.636027e-01 0.654069947    0.00   0.00      1.00
146  0.9707813 0.0493967149 3.658960e-01 0.733386608    0.00   0.16      0.84
147  1.0000000 0.9648836625 9.365777e-01 0.772110607    0.00   0.00      1.00
148  1.0000000 0.8972251024 7.168608e-01 0.461219570    0.00   0.00      1.00
149  1.0000000 0.7162838310 7.637461e-01 0.763760431    0.00   0.00      1.00
150  1.0000000 0.5341366674 9.791999e-01 0.645385208    0.00   0.00      1.00
151  0.7397656 0.7126151929 3.590548e-02 0.866023305    0.07   0.28      0.65
152  1.0000000 0.6038219021 7.743347e-01 0.976168804    0.00   0.00      1.00
153  0.7592969 0.7236706133 2.771825e-02 0.244477511    0.14   0.16      0.70
154  0.9994922 0.0571069689 6.006351e-01 0.456353006    0.00   0.00      1.00
155  0.9989844 0.4148811868 5.119869e-01 0.058276443    0.00   0.02      0.98
156  0.9941797 0.3302001336 4.563647e-01 0.094983248    0.00   0.03      0.97
157  1.0000000 0.9844806225 8.111302e-01 0.762662651    0.00   0.00      1.00
158  0.9999609 0.3106742529 6.992464e-01 0.130549042    0.00   0.00      1.00
159  1.0000000 0.9821902486 9.549064e-01 0.665841522    0.00   0.00      1.00
160  0.9065625 0.8011096544 9.496765e-02 0.197427785    0.03   0.15      0.82
161  0.6445312 0.5494551009 2.471499e-02 0.364362741    0.17   0.25      0.58
162  0.9516797 0.9401204509 6.411864e-02 0.205360758    0.01   0.06      0.93
163  0.7446484 0.6311590278 4.904512e-02 0.297623655    0.16   0.20      0.64
164  0.6222656 0.6189017303 1.247842e-02 0.319863287    0.32   0.09      0.59
165  0.9926172 0.7814023262 3.588527e-01 0.430613137    0.00   0.03      0.97
166  0.9726562 0.8814332974 1.439846e-01 0.749116582    0.00   0.09      0.91
167  1.0000000 0.5951314261 7.474369e-01 0.436227764    0.00   0.00      1.00
168  0.9721875 0.0380341185 3.448301e-01 0.548713146    0.00   0.11      0.89
