      prop.aneu    prob.meio    prob.mito   dispersal euploid mosaic aneuploid
1    0.93859375 0.5722778223 0.2085566313 0.990032393    0.00   0.20      0.80
2    1.00000000 0.5599149922 0.6891532254 0.565141171    0.00   0.00      1.00
3    0.85375000 0.8457129900 0.0344394059 0.604235314    0.07   0.13      0.80
4    0.99718750 0.3025184721 0.4936211372 0.749662294    0.00   0.00      1.00
5    1.00000000 0.8823862867 0.7962752122 0.790779048    0.00   0.00      1.00
6    0.93539063 0.4455915331 0.2385127496 0.273936844    0.00   0.27      0.73
7    0.96226563 0.2269763902 0.3017099644 0.354494103    0.00   0.19      0.81
8    0.99699219 0.7014622327 0.4427476125 0.988318551    0.00   0.02      0.98
9    0.99988281 0.6199010292 0.5756882557 0.713285810    0.00   0.00      1.00
10   0.99265625 0.5073714214 0.3904315801 0.163758625    0.00   0.03      0.97
11   0.99855469 0.0012223015 0.5598168448 0.470419175    0.00   0.01      0.99
12   1.00000000 0.3369997542 0.8593224639 0.091025592    0.00   0.00      1.00
13   0.99957031 0.5106945294 0.6000976977 0.734766102    0.00   0.00      1.00
14   0.99894531 0.5408441164 0.5282961710 0.519295700    0.00   0.02      0.98
15   0.99878906 0.9846755404 0.2963061542 0.150394425    0.00   0.01      0.99
16   0.99230469 0.7892321981 0.3473215238 0.176411889    0.00   0.02      0.98
17   1.00000000 0.4897094255 0.7966942068 0.242012728    0.00   0.00      1.00
18   0.99648437 0.1231499219 0.4806613617 0.340430782    0.00   0.05      0.95
19   0.99984375 0.5265013396 0.6245240418 0.880546449    0.00   0.00      1.00
20   0.99902344 0.7326247415 0.4943233891 0.297515174    0.00   0.02      0.98
21   1.00000000 0.9818550856 0.9040668223 0.372933123    0.00   0.00      1.00
22   1.00000000 0.2542566049 0.9628012371 0.288486395    0.00   0.00      1.00
23   1.00000000 0.3518032636 0.8440142500 0.549133406    0.00   0.00      1.00
24   0.73335938 0.6784800866 0.0070683255 0.105977082    0.25   0.03      0.72
25   0.98652344 0.7842547707 0.3017833272 0.244115745    0.00   0.09      0.91
26   1.00000000 0.5209619913 0.9071642759 0.463519870    0.00   0.00      1.00
27   0.99996094 0.7388982186 0.6252589973 0.300635798    0.00   0.00      1.00
28   0.49382813 0.3638253903 0.0272847498 0.297445230    0.30   0.32      0.38
29   0.99355469 0.6224964375 0.3552093611 0.068464588    0.00   0.03      0.97
30   1.00000000 0.8670503257 0.6229748151 0.429977860    0.00   0.00      1.00
31   0.99996094 0.2341003497 0.7167703782 0.093261178    0.00   0.00      1.00
32   0.99199219 0.4988554870 0.4136271570 0.716909379    0.00   0.03      0.97
33   1.00000000 0.5355156499 0.8583520667 0.371395191    0.00   0.00      1.00
34   1.00000000 0.8446781591 0.9722785153 0.253603085    0.00   0.00      1.00
35   0.95261719 0.2728294854 0.3031110223 0.595983544    0.00   0.19      0.81
